id,bank_txn_id,cc_txn_id,amount_cents,card_last4,date_diff_days
212,1024,3482,6303,154,1
213,1009,3474,33442,154,1
214,995,3465,178197,154,4
215,996,3466,111445,154,4
216,980,3452,80755,154,1
217,982,3451,35522,154,1
218,985,3453,13054,154,1
219,986,3454,9198,154,1
220,975,3442,5633,154,1
221,966,3426,208323,154,1
222,967,3427,1576,154,1
223,968,3428,93233,154,1
224,971,3424,27541,154,1
225,951,3414,4955,154,4
226,952,810,53107,318,4
227,945,3408,13041,154,1
228,920,3396,186909,154,1
229,921,3395,32288,154,1
230,924,3394,29471,154,1
231,918,3392,23691,154,1
232,906,3386,147283,154,1
233,887,3377,47932,154,1
234,889,778,9302,318,1
235,891,3378,7830,154,1
236,892,3379,2200,154,1
237,865,769,27478,318,1
238,866,768,10590,318,1
239,872,3366,3223,154,1
240,873,771,62763,318,1
241,874,3365,167289,154,1
242,858,762,3274,318,1
243,839,3350,55087,154,1
244,841,743,57059,318,1
245,842,3354,6203,154,1
246,844,3352,10626,154,1
247,846,3353,27908,154,1
248,821,3333,109096,154,1
249,822,3337,25176,154,1
250,823,736,8984,318,1
251,824,3336,178776,154,1
252,771,3296,25812,154,1
253,773,3300,1678,154,1
254,774,3299,6288,154,1
255,775,3298,36859,154,1
256,778,3297,40000,154,1
257,779,717,3002,318,1
258,780,3295,2466,154,1
259,783,3293,21846,154,1
260,784,3294,2476,154,1
261,786,716,6498,318,1
262,753,3262,27981,154,1
263,754,3263,3777,154,1
264,756,3261,28348,154,1
265,744,3255,11897,154,1
266,745,3256,7579,154,1
267,740,705,68884,318,1
268,726,3225,8335,154,1
269,729,3226,3051,154,1
270,713,3211,215203,154,3
271,714,3210,40000,154,3
272,698,3184,6395,154,2
273,699,3183,1724,154,2
274,677,3164,10840,154,1
275,678,3163,5586,154,1
276,679,676,69166,318,1
277,680,3162,4816,154,1
278,681,3161,7622,154,1
279,644,662,2921,318,1
280,645,3135,1440,154,1
281,646,660,40710,318,1
282,647,3140,9008,154,1
283,648,3138,241547,154,1
284,649,3139,3600,154,1
285,650,3137,12929,154,1
286,652,3136,64289,154,1
287,653,3141,33747,154,1
288,654,661,34067,318,1
289,605,3110,7970,154,1
290,606,3111,7691,154,1
291,608,3107,4218,154,1
292,609,3109,6000,154,1
293,610,3108,12189,154,1
294,612,3106,40000,154,1
295,613,639,2800,318,1
296,614,634,18503,318,1
297,615,636,14615,318,1
298,616,635,22883,318,1
299,617,638,9090,318,1
300,618,637,1640,318,1
301,576,590,4074,318,1
302,577,588,3679,318,1
303,578,589,7222,318,1
304,555,572,60167,318,1
305,556,573,32965,318,1
306,557,3065,439125,154,1
307,558,3064,231434,154,1
308,559,574,15541,318,1
309,560,575,2101,318,1
310,562,576,103368,318,1
311,564,3063,11904,154,1
312,565,3062,1169,154,1
313,516,529,63228,318,1
314,519,3032,195820,154,1
315,520,528,19324,318,1
316,523,533,2625,318,1
317,524,534,4927,318,1
318,525,535,12986,318,1
319,526,536,1561,318,1
320,528,537,28200,318,1
321,501,521,41283,318,1
322,459,491,5862,318,1
323,460,490,3792,318,1
324,461,489,1954,318,1
325,462,492,19545,318,1
326,464,486,11086,318,1
327,466,485,8008,318,1
328,468,2987,186991,154,1
329,469,493,2760,318,1
330,470,496,2181,318,1
331,471,495,6617,318,1
332,472,494,30531,318,1
333,475,487,4495,318,1
334,453,479,15707,318,1
335,454,480,123686,318,1
336,442,464,12068,318,1
337,443,470,1264,318,1
338,444,469,2068,318,1
339,446,472,3449,318,1
340,447,471,11658,318,1
341,448,2980,253183,154,1
342,449,465,16628,318,1
343,450,466,68218,318,1
344,428,453,5952,318,1
345,429,449,9302,318,1
346,430,450,892,318,1
347,431,451,9719,318,1
348,404,434,7226,318,1
349,406,435,6855,318,1
350,393,422,13268,318,3
351,394,423,13268,318,3
352,395,421,13153,318,3
353,396,426,13268,318,3
354,397,427,13268,318,3
355,366,404,1945,318,1
356,368,403,33391,318,1
357,369,405,2783,318,1
358,371,406,12194,318,1
359,372,402,4599,318,1
360,354,389,4903,318,1
361,355,390,5070,318,1
362,356,391,5108,318,1
363,357,393,5107,318,1
364,350,384,40858,318,1
365,334,362,4574,318,1
366,335,360,3217,318,1
367,336,361,3217,318,1
368,337,2796,6202,154,1
369,317,330,5173,318,1
370,318,327,3902,318,1
371,319,328,3902,318,1
372,320,2751,4766,154,1
373,321,331,3419,318,1
374,322,326,25606,318,1
375,313,2748,14921,154,1
376,307,2736,4792,154,1
377,308,324,4912,318,1
378,311,323,3889,318,1
379,292,300,22994,318,1
380,286,271,28621,318,1
381,283,259,8739,318,1
382,262,2522,7155,154,1
383,263,2523,4896,154,1
384,264,225,2460,318,1
385,265,228,8739,318,1
386,268,2524,2168,154,1
387,246,2502,18624,154,1
388,242,2498,7277,154,1
389,243,2499,347132,154,1
390,223,193,66698,318,1
391,216,188,68138,318,1
392,217,187,25680,318,1
393,202,2448,5794,154,1
394,206,177,17099,318,1
395,207,179,36140,318,1
396,196,2439,313137,154,1
397,197,2438,288295,154,1
398,198,174,63496,318,1
399,185,2421,547947,154,1
400,133,116,11792,318,1
401,134,117,6952,318,1
402,135,118,3197,318,1
403,137,122,30424,318,1
404,138,121,6875,318,1
405,139,120,18153,318,1
406,140,119,3419,318,1
407,141,134,70384,318,1
408,143,128,46234,318,1
409,144,127,17400,318,1
410,145,126,5558,318,1
411,146,125,4823,318,1
412,147,124,4914,318,1
413,148,123,147409,318,1
414,149,130,20403,318,1
415,151,129,3264,318,1
416,154,132,3564,318,1
417,155,133,9296,318,1
418,156,2384,18964,154,1
419,157,131,11915,318,1
420,126,2373,191577,154,1
421,127,2374,350360,154,1
422,120,99,1420,318,3
423,121,97,64232,318,3
424,122,105,34816,318,3
425,123,98,5558,318,3
426,112,95,36140,318,1
427,91,76,2081,318,1
428,92,75,5130,318,1
429,93,74,25362,318,1
430,95,72,41094,318,1
431,96,71,25360,318,1
432,97,73,5128,318,1
433,98,70,36000,318,1
434,64,50,11418,318,1
435,65,49,2972,318,1
436,66,52,4820,318,1
437,67,51,53072,318,1
438,68,2291,39901,154,1
439,70,48,50773,318,1
440,29,27,14280,318,1
441,30,26,1689,318,1
442,31,28,52860,318,1
443,32,2239,69374,154,1
444,33,2241,2352,154,1
445,34,25,20345,318,1
446,35,23,9609,318,1
447,36,24,5194,318,1
448,714,3326,40000,154,0
449,612,3131,40000,154,0
