bank_txn_id,bank_date,bank_amount,bank_description,vendor_parsed,cc_cards,cc_payment_link_count,direct_wave_bill_count,allocated_wave_bill_count,wave_bill_count,wave_bill_rows,wave_bill_total,wave_bill_allocated_total,wave_vs_bank_coverage_pct
520,2025-02-27,193.24,Internet Banking INTERNET TRANSFER000000134104 4500*********318,318,318,1,0,1,1,621,193.24,193.24,100.0
523,2025-02-27,26.25,Internet Banking INTERNET TRANSFER000000128460 4500*********318,318,318,1,0,1,1,609,26.25,26.25,100.0
524,2025-02-27,49.27,Internet Banking INTERNET TRANSFER000000127940 4500*********318,318,318,1,0,1,1,624,49.27,49.27,100.0
525,2025-02-27,129.86,Internet Banking INTERNET TRANSFER000000127351 4500*********318,318,318,1,0,1,1,622,129.86,129.86,100.0
526,2025-02-27,15.61,Internet Banking INTERNET TRANSFER000000110149 4500*********318,318,318,1,0,1,1,634,15.61,15.61,100.0
528,2025-02-27,282.0,Internet Banking INTERNET TRANSFER000000105803 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
555,2025-02-12,601.67,Internet Banking INTERNET TRANSFER000000112387 4500*********318,318,318,1,1,1,1,605,601.67,601.67,100.0
556,2025-02-12,329.65,Internet Banking INTERNET TRANSFER000000203455 4500*********318,318,318,1,0,1,1,607,329.65,329.65,100.0
557,2025-02-12,4391.25,Internet Banking INTERNET TRANSFER000000226583 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
558,2025-02-12,2314.34,Internet Banking INTERNET TRANSFER000000226144 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
559,2025-02-12,155.41,Internet Banking INTERNET TRANSFER000000214182 4500*********318,318,318,1,0,1,1,608,155.41,155.41,100.0
560,2025-02-12,21.01,Internet Banking INTERNET TRANSFER000000225716 4500*********318,318,318,1,0,1,1,595,21.01,21.01,100.0
562,2025-02-12,1033.68,Internet Banking INTERNET TRANSFER000000213701 4500*********318,318,318,1,1,1,1,615,1033.68,1033.68,100.0
564,2025-02-12,119.04,Internet Banking INTERNET TRANSFER000000201689 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
565,2025-02-12,11.69,Internet Banking INTERNET TRANSFER000000237080 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
576,2025-02-10,40.74,Internet Banking INTERNET TRANSFER000000136083 4500*********318,318,318,1,1,0,1,503,40.74,0.0,0.0
577,2025-02-10,36.79,Internet Banking INTERNET TRANSFER000000107356 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
578,2025-02-10,72.22,Internet Banking INTERNET TRANSFER000000114754 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
605,2025-01-27,79.7,Internet Banking INTERNET TRANSFER000000220129 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
606,2025-01-27,76.91,Internet Banking INTERNET TRANSFER000000229528 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
608,2025-01-27,42.18,Internet Banking INTERNET TRANSFER000000212562 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
609,2025-01-27,60.0,Internet Banking INTERNET TRANSFER000000212447 5268*********154,154,154,1,0,1,1,509,60.0,60.0,100.0
610,2025-01-27,121.89,Internet Banking INTERNET TRANSFER000000227569 5268*********154,154,154,1,1,1,1,578,121.89,121.89,100.0
612,2025-01-27,400.0,Internet Banking INTERNET TRANSFER000000227045 5268*********154,154,154,2,0,1,1,576,566.01,800.0,200.0
613,2025-01-27,28.0,Internet Banking INTERNET TRANSFER000000212141 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
614,2025-01-27,185.03,Internet Banking INTERNET TRANSFER000000235128 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
615,2025-01-27,146.15,Internet Banking INTERNET TRANSFER000000234778 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
616,2025-01-27,228.83,Internet Banking INTERNET TRANSFER000000234567 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
617,2025-01-27,90.9,Internet Banking INTERNET TRANSFER000000206076 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
618,2025-01-27,16.4,Internet Banking INTERNET TRANSFER000000234084 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
644,2025-01-16,29.21,Internet Banking INTERNET TRANSFER000000112952 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
645,2025-01-16,14.4,Internet Banking INTERNET TRANSFER000000202511 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
646,2025-01-16,407.1,Internet Banking INTERNET TRANSFER000000219840 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
647,2025-01-16,90.08,Internet Banking INTERNET TRANSFER000000238032 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
648,2025-01-16,2415.47,Internet Banking INTERNET TRANSFER000000237617 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
649,2025-01-16,36.0,Internet Banking INTERNET TRANSFER000000201393 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
650,2025-01-16,129.29,Internet Banking INTERNET TRANSFER000000200866 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
652,2025-01-16,642.89,Internet Banking INTERNET TRANSFER000000209476 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
653,2025-01-16,337.47,Internet Banking INTERNET TRANSFER000000208978 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
654,2025-01-16,340.67,Internet Banking INTERNET TRANSFER000000217589 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
677,2025-01-08,108.4,Internet Banking INTERNET TRANSFER000000209054 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
678,2025-01-08,55.86,Internet Banking INTERNET TRANSFER000000213081 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
679,2025-01-08,691.66,Internet Banking INTERNET TRANSFER000000212813 4500*********318,318,318,1,1,1,1,551,691.66,691.66,100.0
680,2025-01-08,48.16,Internet Banking INTERNET TRANSFER000000208777 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
681,2025-01-08,76.22,Internet Banking INTERNET TRANSFER000000208552 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
698,2024-12-31,63.95,Internet Banking INTERNET TRANSFER000000201335 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
699,2024-12-31,17.24,Internet Banking INTERNET TRANSFER000000230134 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
713,2024-12-20,2152.03,Internet Banking INTERNET TRANSFER000000138982 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
714,2024-12-20,400.0,Internet Banking INTERNET TRANSFER000000138414 5268*********154,154,154,2,0,1,1,487,654.74,400.0,100.0
726,2024-12-16,83.35,Internet Banking INTERNET TRANSFER000000236880 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
729,2024-12-16,30.51,Internet Banking INTERNET TRANSFER000000200410 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
740,2024-12-12,688.84,Internet Banking INTERNET TRANSFER000000228879 4500*********318,318,318,1,1,1,1,525,688.84,688.84,100.0
744,2024-12-11,118.97,Internet Banking INTERNET TRANSFER000000124028 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
745,2024-12-11,75.79,Internet Banking INTERNET TRANSFER000000139965 5268*********154,154,154,1,0,1,1,516,75.79,75.79,100.0
753,2024-12-09,279.81,Internet Banking INTERNET TRANSFER000000134545 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
754,2024-12-09,37.77,Internet Banking INTERNET TRANSFER000000129151 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
756,2024-12-09,283.48,Internet Banking INTERNET TRANSFER000000101098 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
771,2024-12-03,258.12,Internet Banking INTERNET TRANSFER000000130163 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
773,2024-12-03,16.78,Internet Banking INTERNET TRANSFER000000129642 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
774,2024-12-03,62.88,Internet Banking INTERNET TRANSFER000000129483 5268*********154,154,154,1,0,0,0,,0.0,0.0,0.0
775,2024-12-03,368.59,Internet Banking INTERNET TRANSFER000000128944 5268*********154,154,154,1,1,1,1,500,368.59,368.59,100.0
778,2024-12-03,400.0,Internet Banking INTERNET TRANSFER000000127489 5268*********154,154,154,1,0,1,1,487,654.74,400.0,100.0
779,2024-12-03,30.02,Internet Banking INTERNET TRANSFER000000135363 4500*********318,318,318,1,0,0,0,,0.0,0.0,0.0
780,2024-12-03,24.66,Internet Banking INTERNET TRANSFER000000134238 5268*********154,154,154,1,0,1,1,489,24.66,24.66,100.0
