GIFI_Code,Description,Amount
3660,Retained earnings/deficit - Start,16656
3680,Net income/loss,28349
3700,Dividends declared,36900
3740,Other items affecting retained earnings (rounding),-1
3849,Retained earnings/deficit - End,8104
