bank_txn_id,bank_date,bank_amount,cc_card_last4,wave_alloc_rows,wave_bill_count,allocated_any,allocated_cc_alloc_v1,allocated_manual_split_v1,unallocated_gap,coverage_pct,bank_description
526,2025-02-27,15.61,0318,1,1,15.61,15.61,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000110149 4500*********318
525,2025-02-27,129.86,0318,1,1,129.86,129.86,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000127351 4500*********318
524,2025-02-27,49.27,0318,1,1,49.27,49.27,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000127940 4500*********318
523,2025-02-27,26.25,0318,1,1,26.25,26.25,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000128460 4500*********318
520,2025-02-27,193.24,0318,1,1,193.24,193.24,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000134104 4500*********318
519,2025-02-27,1958.20,8154,0,0,0.00,0.00,0.00,1958.20,0.0,Internet Banking INTERNET TRANSFER000000134508 5268*********154
516,2025-02-27,632.28,0318,0,0,0.00,0.00,0.00,632.28,0.0,Internet Banking INTERNET TRANSFER000000233434 4500*********318
565,2025-02-12,11.69,8154,0,0,0.00,0.00,0.00,11.69,0.0,Internet Banking INTERNET TRANSFER000000237080 5268*********154
564,2025-02-12,119.04,8154,0,0,0.00,0.00,0.00,119.04,0.0,Internet Banking INTERNET TRANSFER000000201689 5268*********154
562,2025-02-12,1033.68,0318,1,1,1033.68,1033.68,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000213701 4500*********318
560,2025-02-12,21.01,0318,1,1,21.01,21.01,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000225716 4500*********318
559,2025-02-12,155.41,0318,1,1,155.41,155.41,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000214182 4500*********318
558,2025-02-12,2314.34,8154,0,0,0.00,0.00,0.00,2314.34,0.0,Internet Banking INTERNET TRANSFER000000226144 5268*********154
557,2025-02-12,4391.25,8154,0,0,0.00,0.00,0.00,4391.25,0.0,Internet Banking INTERNET TRANSFER000000226583 5268*********154
556,2025-02-12,329.65,0318,1,1,329.65,329.65,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000203455 4500*********318
555,2025-02-12,601.67,0318,1,1,601.67,601.67,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000112387 4500*********318
578,2025-02-10,72.22,0318,0,0,0.00,0.00,0.00,72.22,0.0,Internet Banking INTERNET TRANSFER000000114754 4500*********318
577,2025-02-10,36.79,0318,0,0,0.00,0.00,0.00,36.79,0.0,Internet Banking INTERNET TRANSFER000000107356 4500*********318
576,2025-02-10,40.74,0318,0,0,0.00,0.00,0.00,40.74,0.0,Internet Banking INTERNET TRANSFER000000136083 4500*********318
618,2025-01-27,16.40,0318,0,0,0.00,0.00,0.00,16.40,0.0,Internet Banking INTERNET TRANSFER000000234084 4500*********318
617,2025-01-27,90.90,0318,0,0,0.00,0.00,0.00,90.90,0.0,Internet Banking INTERNET TRANSFER000000206076 4500*********318
616,2025-01-27,228.83,0318,0,0,0.00,0.00,0.00,228.83,0.0,Internet Banking INTERNET TRANSFER000000234567 4500*********318
615,2025-01-27,146.15,0318,0,0,0.00,0.00,0.00,146.15,0.0,Internet Banking INTERNET TRANSFER000000234778 4500*********318
614,2025-01-27,185.03,0318,0,0,0.00,0.00,0.00,185.03,0.0,Internet Banking INTERNET TRANSFER000000235128 4500*********318
613,2025-01-27,28.00,0318,0,0,0.00,0.00,0.00,28.00,0.0,Internet Banking INTERNET TRANSFER000000212141 4500*********318
612,2025-01-27,400.00,8154,1,1,400.00,0.00,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000227045 5268*********154
610,2025-01-27,121.89,8154,1,1,121.89,121.89,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000227569 5268*********154
609,2025-01-27,60.00,8154,1,1,60.00,60.00,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000212447 5268*********154
608,2025-01-27,42.18,8154,0,0,0.00,0.00,0.00,42.18,0.0,Internet Banking INTERNET TRANSFER000000212562 5268*********154
606,2025-01-27,76.91,8154,0,0,0.00,0.00,0.00,76.91,0.0,Internet Banking INTERNET TRANSFER000000229528 5268*********154
605,2025-01-27,79.70,8154,0,0,0.00,0.00,0.00,79.70,0.0,Internet Banking INTERNET TRANSFER000000220129 5268*********154
654,2025-01-16,340.67,0318,0,0,0.00,0.00,0.00,340.67,0.0,Internet Banking INTERNET TRANSFER000000217589 4500*********318
653,2025-01-16,337.47,8154,0,0,0.00,0.00,0.00,337.47,0.0,Internet Banking INTERNET TRANSFER000000208978 5268*********154
652,2025-01-16,642.89,8154,0,0,0.00,0.00,0.00,642.89,0.0,Internet Banking INTERNET TRANSFER000000209476 5268*********154
650,2025-01-16,129.29,8154,0,0,0.00,0.00,0.00,129.29,0.0,Internet Banking INTERNET TRANSFER000000200866 5268*********154
649,2025-01-16,36.00,8154,0,0,0.00,0.00,0.00,36.00,0.0,Internet Banking INTERNET TRANSFER000000201393 5268*********154
648,2025-01-16,2415.47,8154,0,0,0.00,0.00,0.00,2415.47,0.0,Internet Banking INTERNET TRANSFER000000237617 5268*********154
647,2025-01-16,90.08,8154,0,0,0.00,0.00,0.00,90.08,0.0,Internet Banking INTERNET TRANSFER000000238032 5268*********154
646,2025-01-16,407.10,0318,0,0,0.00,0.00,0.00,407.10,0.0,Internet Banking INTERNET TRANSFER000000219840 4500*********318
645,2025-01-16,14.40,8154,0,0,0.00,0.00,0.00,14.40,0.0,Internet Banking INTERNET TRANSFER000000202511 5268*********154
644,2025-01-16,29.21,0318,0,0,0.00,0.00,0.00,29.21,0.0,Internet Banking INTERNET TRANSFER000000112952 4500*********318
681,2025-01-08,76.22,8154,0,0,0.00,0.00,0.00,76.22,0.0,Internet Banking INTERNET TRANSFER000000208552 5268*********154
680,2025-01-08,48.16,8154,0,0,0.00,0.00,0.00,48.16,0.0,Internet Banking INTERNET TRANSFER000000208777 5268*********154
679,2025-01-08,691.66,0318,1,1,691.66,691.66,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000212813 4500*********318
678,2025-01-08,55.86,8154,0,0,0.00,0.00,0.00,55.86,0.0,Internet Banking INTERNET TRANSFER000000213081 5268*********154
677,2025-01-08,108.40,8154,0,0,0.00,0.00,0.00,108.40,0.0,Internet Banking INTERNET TRANSFER000000209054 5268*********154
699,2024-12-31,17.24,8154,0,0,0.00,0.00,0.00,17.24,0.0,Internet Banking INTERNET TRANSFER000000230134 5268*********154
698,2024-12-31,63.95,8154,0,0,0.00,0.00,0.00,63.95,0.0,Internet Banking INTERNET TRANSFER000000201335 5268*********154
714,2024-12-20,400.00,8154,1,1,400.00,0.00,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000138414 5268*********154
713,2024-12-20,2152.03,8154,0,0,0.00,0.00,0.00,2152.03,0.0,Internet Banking INTERNET TRANSFER000000138982 5268*********154
729,2024-12-16,30.51,8154,0,0,0.00,0.00,0.00,30.51,0.0,Internet Banking INTERNET TRANSFER000000200410 5268*********154
726,2024-12-16,83.35,8154,0,0,0.00,0.00,0.00,83.35,0.0,Internet Banking INTERNET TRANSFER000000236880 5268*********154
740,2024-12-12,688.84,0318,1,1,688.84,688.84,0.00,0.00,100.0,Internet Banking INTERNET TRANSFER000000228879 4500*********318
