cc_card_last4,bank_txn_id,bank_date,bank_amount,current_allocated_to_wave,fifo_allocated_to_wave,delta_allocated,current_coverage_pct,fifo_coverage_pct
0318,1270,2024-02-26,59.88,59.88,59.88,0.00,100.0,100.0
0318,1271,2024-02-26,29.95,29.95,29.95,0.00,100.0,100.0
0318,1274,2024-02-26,47.96,47.96,47.96,0.00,100.0,100.0
0318,1275,2024-02-26,381.01,381.01,0.00,-381.01,100.0,0.0
0318,1249,2024-03-06,12.07,12.07,12.07,0.00,100.0,100.0
0318,1250,2024-03-06,43.52,43.52,43.52,0.00,100.0,100.0
0318,1252,2024-03-06,21.30,21.30,21.30,0.00,100.0,100.0
0318,1235,2024-03-11,21.94,21.94,21.94,0.00,100.0,100.0
0318,1204,2024-03-20,54.21,54.21,43.83,-10.38,100.0,80.9
0318,1205,2024-03-20,43.83,43.83,0.00,-43.83,100.0,0.0
0318,1206,2024-03-20,227.43,227.43,227.43,0.00,100.0,100.0
0318,1207,2024-03-20,182.39,182.39,182.39,0.00,100.0,100.0
0318,1208,2024-03-20,133.28,133.28,133.28,0.00,100.0,100.0
0318,1193,2024-03-25,41.18,41.18,41.18,0.00,100.0,100.0
0318,1194,2024-03-25,236.56,236.56,54.21,-182.35,100.0,22.9
0318,1144,2024-04-16,136.11,0.00,124.80,124.80,0.0,91.7
0318,1145,2024-04-16,29.88,29.88,0.00,-29.88,100.0,0.0
0318,1146,2024-04-16,35.15,35.15,35.15,0.00,100.0,100.0
0318,1147,2024-04-16,231.21,0.00,152.60,152.60,0.0,66.0
0318,1135,2024-04-22,65.49,65.49,65.49,0.00,100.0,100.0
0318,1136,2024-04-22,28.92,28.92,28.92,0.00,100.0,100.0
0318,1137,2024-04-22,94.92,94.92,0.00,-94.92,100.0,0.0
0318,1127,2024-04-23,222.59,0.00,41.37,41.37,0.0,18.6
0318,1124,2024-04-30,128.18,0.00,0.00,0.00,0.0,0.0
0318,1118,2024-05-06,209.89,209.89,83.18,-126.71,100.0,39.6
0318,1119,2024-05-06,63.28,63.28,0.00,-63.28,100.0,0.0
0318,1120,2024-05-06,19.90,19.90,0.00,-19.90,100.0,0.0
0318,1115,2024-05-07,20.08,20.08,0.00,-20.08,100.0,0.0
0318,1102,2024-05-21,87.27,0.00,20.08,20.08,0.0,23.0
0318,1103,2024-05-21,65.14,0.00,0.00,0.00,0.0,0.0
0318,1104,2024-05-21,71.11,71.11,71.11,0.00,100.0,100.0
0318,1097,2024-05-27,29.64,29.64,29.64,0.00,100.0,100.0
0318,1096,2024-05-28,288.65,0.00,236.56,236.56,0.0,82.0
0318,1093,2024-05-31,34.81,34.81,0.00,-34.81,100.0,0.0
0318,1094,2024-05-31,213.52,213.52,209.89,-3.63,100.0,98.3
0318,1079,2024-07-12,29.78,29.78,29.78,0.00,100.0,100.0
0318,1072,2024-08-08,135.55,135.55,48.82,-86.73,100.0,36.0
0318,1073,2024-08-08,14.01,14.01,0.00,-14.01,100.0,0.0
0318,1066,2024-08-19,101.78,0.00,0.00,0.00,0.0,0.0
0318,1067,2024-08-19,237.89,0.00,222.59,222.59,0.0,93.6
0318,1054,2024-09-03,40.53,40.53,40.53,0.00,100.0,100.0
0318,1023,2024-09-18,30.44,30.44,30.44,0.00,100.0,100.0
0318,952,2024-10-11,531.07,531.07,349.07,-182.00,100.0,65.7
0318,889,2024-10-28,93.02,93.02,93.02,0.00,100.0,100.0
0318,865,2024-11-04,274.78,0.00,0.00,0.00,0.0,0.0
0318,866,2024-11-04,105.90,0.00,0.00,0.00,0.0,0.0
0318,873,2024-11-04,627.63,627.63,531.07,-96.56,100.0,84.6
0318,858,2024-11-06,32.74,0.00,0.00,0.00,0.0,0.0
0318,841,2024-11-12,570.59,570.59,570.59,0.00,100.0,100.0
0318,823,2024-11-18,89.84,0.00,0.00,0.00,0.0,0.0
0318,779,2024-12-03,30.02,0.00,0.00,0.00,0.0,0.0
0318,786,2024-12-03,64.98,0.00,0.00,0.00,0.0,0.0
0318,740,2024-12-12,688.84,688.84,627.63,-61.21,100.0,91.1
0318,679,2025-01-08,691.66,691.66,688.84,-2.82,100.0,99.6
0318,644,2025-01-16,29.21,0.00,0.00,0.00,0.0,0.0
0318,646,2025-01-16,407.10,0.00,0.00,0.00,0.0,0.0
0318,654,2025-01-16,340.67,0.00,0.00,0.00,0.0,0.0
0318,613,2025-01-27,28.00,0.00,0.00,0.00,0.0,0.0
0318,614,2025-01-27,185.03,0.00,0.00,0.00,0.0,0.0
0318,615,2025-01-27,146.15,0.00,0.00,0.00,0.0,0.0
0318,616,2025-01-27,228.83,0.00,0.00,0.00,0.0,0.0
0318,617,2025-01-27,90.90,0.00,0.00,0.00,0.0,0.0
0318,618,2025-01-27,16.40,0.00,0.00,0.00,0.0,0.0
0318,576,2025-02-10,40.74,0.00,21.01,21.01,0.0,51.6
0318,577,2025-02-10,36.79,0.00,26.25,26.25,0.0,71.4
0318,578,2025-02-10,72.22,0.00,0.00,0.00,0.0,0.0
0318,555,2025-02-12,601.67,601.67,601.67,0.00,100.0,100.0
0318,556,2025-02-12,329.65,329.65,155.41,-174.24,100.0,47.1
0318,559,2025-02-12,155.41,155.41,0.00,-155.41,100.0,0.0
0318,560,2025-02-12,21.01,21.01,0.00,-21.01,100.0,0.0
0318,562,2025-02-12,1033.68,1033.68,1021.31,-12.37,100.0,98.8
0318,516,2025-02-27,632.28,0.00,387.98,387.98,0.0,61.4
0318,520,2025-02-27,193.24,193.24,0.00,-193.24,100.0,0.0
0318,523,2025-02-27,26.25,26.25,0.00,-26.25,100.0,0.0
0318,524,2025-02-27,49.27,49.27,0.00,-49.27,100.0,0.0
0318,525,2025-02-27,129.86,129.86,0.00,-129.86,100.0,0.0
0318,526,2025-02-27,15.61,15.61,0.00,-15.61,100.0,0.0
0318,528,2025-02-27,282.00,0.00,0.00,0.00,0.0,0.0
0318,501,2025-03-05,412.83,0.00,0.00,0.00,0.0,0.0
0318,459,2025-03-17,58.62,0.00,27.60,27.60,0.0,47.1
0318,460,2025-03-17,37.92,0.00,0.00,0.00,0.0,0.0
0318,461,2025-03-17,19.54,0.00,0.00,0.00,0.0,0.0
0318,462,2025-03-17,195.45,0.00,162.20,162.20,0.0,83.0
0318,464,2025-03-17,110.86,110.86,110.86,0.00,100.0,100.0
0318,466,2025-03-17,80.08,80.08,80.08,0.00,100.0,100.0
0318,469,2025-03-17,27.60,27.60,0.00,-27.60,100.0,0.0
0318,470,2025-03-17,21.81,0.00,0.00,0.00,0.0,0.0
0318,471,2025-03-17,66.17,66.17,0.00,-66.17,100.0,0.0
0318,472,2025-03-17,305.31,305.31,305.31,0.00,100.0,100.0
0318,475,2025-03-17,44.95,44.95,0.00,-44.95,100.0,0.0
0318,453,2025-03-18,157.07,157.07,0.00,-157.07,100.0,0.0
0318,454,2025-03-18,1236.86,1236.86,1033.68,-203.18,100.0,83.6
0318,442,2025-03-20,120.68,120.68,33.32,-87.36,100.0,27.6
0318,443,2025-03-20,12.64,12.64,0.00,-12.64,100.0,0.0
0318,444,2025-03-20,20.68,20.68,0.00,-20.68,100.0,0.0
0318,446,2025-03-20,34.49,34.49,0.00,-34.49,100.0,0.0
0318,447,2025-03-20,116.58,0.00,0.00,0.00,0.0,0.0
0318,449,2025-03-20,166.28,166.28,120.68,-45.60,100.0,72.6
0318,450,2025-03-20,682.18,682.18,0.00,-682.18,100.0,0.0
0318,428,2025-03-26,59.52,59.52,43.41,-16.11,100.0,72.9
0318,429,2025-03-26,93.02,93.02,81.80,-11.22,100.0,87.9
0318,430,2025-03-26,8.92,8.92,0.00,-8.92,100.0,0.0
0318,431,2025-03-26,97.19,97.19,97.19,0.00,100.0,100.0
0318,404,2025-04-08,72.26,72.26,59.52,-12.74,100.0,82.4
0318,406,2025-04-08,68.55,68.55,0.00,-68.55,100.0,0.0
0318,393,2025-04-11,132.68,0.00,116.58,116.58,0.0,87.9
0318,394,2025-04-11,132.68,0.00,93.02,93.02,0.0,70.1
0318,395,2025-04-11,131.53,0.00,72.26,72.26,0.0,54.9
0318,396,2025-04-11,132.68,0.00,68.55,68.55,0.0,51.7
0318,397,2025-04-11,132.68,0.00,0.00,0.00,0.0,0.0
0318,366,2025-04-24,19.45,19.45,19.45,0.00,100.0,100.0
0318,368,2025-04-24,333.91,333.91,166.28,-167.63,100.0,49.8
0318,369,2025-04-24,27.83,27.83,0.00,-27.83,100.0,0.0
0318,371,2025-04-24,121.94,0.00,0.00,0.00,0.0,0.0
0318,372,2025-04-24,45.99,0.00,0.00,0.00,0.0,0.0
0318,354,2025-05-05,49.03,0.00,27.83,27.83,0.0,56.8
0318,355,2025-05-05,50.70,0.00,0.00,0.00,0.0,0.0
0318,356,2025-05-05,51.08,51.08,0.00,-51.08,100.0,0.0
0318,357,2025-05-05,51.07,0.00,0.00,0.00,0.0,0.0
0318,350,2025-05-13,408.58,0.00,333.91,333.91,0.0,81.7
8154,1637,2023-09-27,92.54,92.54,0.00,-92.54,100.0,0.0
8154,1638,2023-09-27,1215.36,1215.36,1132.78,-82.58,100.0,93.2
8154,1642,2023-09-27,2346.93,2346.93,2105.90,-241.03,100.0,89.7
8154,1643,2023-09-27,1129.51,0.00,0.00,0.00,0.0,0.0
8154,1601,2023-10-20,82.49,0.00,0.00,0.00,0.0,0.0
8154,1602,2023-10-20,62.54,0.00,0.00,0.00,0.0,0.0
8154,1603,2023-10-20,224.07,0.00,92.54,92.54,0.0,41.3
8154,1605,2023-10-20,851.32,0.00,0.00,0.00,0.0,0.0
8154,1606,2023-10-20,48.27,0.00,0.00,0.00,0.0,0.0
8154,1607,2023-10-20,236.73,0.00,0.00,0.00,0.0,0.0
8154,1564,2023-10-23,62.54,0.00,0.00,0.00,0.0,0.0
8154,1565,2023-10-23,994.88,994.88,0.00,-994.88,100.0,0.0
8154,1573,2023-10-23,56.35,0.00,0.00,0.00,0.0,0.0
8154,1574,2023-10-23,40.18,0.00,0.00,0.00,0.0,0.0
8154,1575,2023-10-23,37.71,0.00,0.00,0.00,0.0,0.0
8154,1580,2023-10-23,582.38,582.38,0.00,-582.38,100.0,0.0
8154,1582,2023-10-23,1523.52,1523.52,1215.36,-308.16,100.0,79.8
8154,1583,2023-10-23,70.10,0.00,0.00,0.00,0.0,0.0
8154,1588,2023-10-23,137.90,137.90,0.00,-137.90,100.0,0.0
8154,1591,2023-10-23,19.54,0.00,0.00,0.00,0.0,0.0
8154,1595,2023-10-23,59.13,0.00,0.00,0.00,0.0,0.0
8154,1596,2023-10-23,167.85,0.00,0.00,0.00,0.0,0.0
8154,1597,2023-10-23,10.24,0.00,0.00,0.00,0.0,0.0
8154,1563,2023-10-24,78.83,0.00,0.00,0.00,0.0,0.0
8154,1560,2023-10-25,1371.82,0.00,0.00,0.00,0.0,0.0
8154,1548,2023-10-30,64.04,0.00,0.00,0.00,0.0,0.0
8154,1551,2023-10-30,586.57,0.00,0.00,0.00,0.0,0.0
8154,1537,2023-11-01,1977.98,0.00,0.00,0.00,0.0,0.0
8154,1539,2023-11-01,631.81,0.00,0.00,0.00,0.0,0.0
8154,1516,2023-11-08,138.00,0.00,0.00,0.00,0.0,0.0
8154,1520,2023-11-08,1366.17,0.00,0.00,0.00,0.0,0.0
8154,1506,2023-11-15,63.56,0.00,0.00,0.00,0.0,0.0
8154,1494,2023-11-23,1659.22,0.00,0.00,0.00,0.0,0.0
