fiscal_year,capitalized_asset_count,expensed_asset_count,capitalized_additions_cents,capitalized_additions_dollars,expensed_additions_cents,expensed_additions_dollars,book_amortization_cents,book_amortization_dollars
FY2024,2,0,164999,1650,0,0,33000,330
FY2025,3,0,122010,1220,0,0,103800,1038
