fy,online_channels,online_net_payments,total_net_payments,online_net_cents,total_net_cents,percent_gross_revenue_from_internet
FY2024,"online store,shop",8397.92,194032.44,839792,19403244,4.33
FY2025,"online store,shop",12274.25,257013.03,1227425,25701303,4.78
