fiscal_year,asset_id,description,book_treatment,book_depr_policy,book_start_date,available_for_use_date,total_cost_cents,total_cost_dollars,reclass_total_cents,reclass_total_dollars,amortization_cents,amortization_dollars,book_asset_gifi_code,book_accum_amort_gifi_code,book_amort_expense_gifi_code,component_breakdown,source_breakdown,notes
FY2024,ams_lb9_vending_machine_2024_02_20,AMS-LB9 vending machine (Electric Kitty),capitalize,mirror_tax,2024-02-20,2024-02-20,110000,1100,110000,1100,22000,220,1740,1741,8670,account=6600 gifi=8810 amount_cents=110000 vendor=Electric Kitty - Bill invoice_date=2024-02-20,wave_bill_allocation: bill_id=221 invoice_date=2024-02-20 vendor=Electric Kitty - Bill account=6600 amount_cents=110000 alloc_total_cents=110000,Model: AMS-LB9. Manual: /home/clarencehub/t2-final-fy2024-fy2025/Asset Info/Vending Machine/ams-manual-sensit3-snack-vcb-vcf-vcbe-lbx-food-lcx-combo.pdf
FY2024,costco_freezer_2024_03_13,Hisense freezer (Costco),capitalize,mirror_tax,2024-03-13,2024-03-13,54999,550,54999,550,11000,110,1740,1741,8670,account=6600 gifi=8810 amount_cents=54999 vendor=Costco - Bill invoice_date=2024-03-13,wave_bill_allocation: bill_id=256 invoice_date=2024-03-13 vendor=Costco - Bill account=6600 amount_cents=54999 alloc_total_cents=54999,Spec sheet: /home/clarencehub/t2-final-fy2024-fy2025/Asset Info/Hisense Freezer/FC18D6CWD-Spec-Sheet-Eng.pdf
FY2024,costco_ipad_air_2023_12_08,iPad Air 5 64GB (Costco),capitalize,mirror_tax,2023-12-08,2023-12-08,64839,648,64839,648,17800,178,1740,1741,8670,account=6600 gifi=8810 amount_cents=64839 vendor=Costco - Bill 22134500703182312081530 invoice_date=2023-12-08,wave_bill_allocation: bill_id=143 invoice_date=2023-12-08 vendor=Costco - Bill 22134500703182312081530 account=6600 amount_cents=64839 alloc_total_cents=64839,Receipt lines: AIR 5 64GB 768.39 - TPD/IPADAIR discount 120.00 => net 648.39 (Costco 2023-12-08).
FY2025,ams_lb9_vending_machine_2024_02_20,AMS-LB9 vending machine (Electric Kitty),capitalize,mirror_tax,2024-02-20,2024-02-20,110000,1100,0,0,17600,176,1740,1741,8670,account=6600 gifi=8810 amount_cents=110000 vendor=Electric Kitty - Bill invoice_date=2024-02-20,wave_bill_allocation: bill_id=221 invoice_date=2024-02-20 vendor=Electric Kitty - Bill account=6600 amount_cents=110000 alloc_total_cents=110000,Model: AMS-LB9. Manual: /home/clarencehub/t2-final-fy2024-fy2025/Asset Info/Vending Machine/ams-manual-sensit3-snack-vcb-vcf-vcbe-lbx-food-lcx-combo.pdf
FY2025,costco_freezer_2024_03_13,Hisense freezer (Costco),capitalize,mirror_tax,2024-03-13,2024-03-13,54999,550,0,0,8800,88,1740,1741,8670,account=6600 gifi=8810 amount_cents=54999 vendor=Costco - Bill invoice_date=2024-03-13,wave_bill_allocation: bill_id=256 invoice_date=2024-03-13 vendor=Costco - Bill account=6600 amount_cents=54999 alloc_total_cents=54999,Spec sheet: /home/clarencehub/t2-final-fy2024-fy2025/Asset Info/Hisense Freezer/FC18D6CWD-Spec-Sheet-Eng.pdf
FY2025,costco_ipad_air_2023_12_08,iPad Air 5 64GB (Costco),capitalize,mirror_tax,2023-12-08,2023-12-08,64839,648,0,0,25900,259,1740,1741,8670,account=6600 gifi=8810 amount_cents=64839 vendor=Costco - Bill 22134500703182312081530 invoice_date=2023-12-08,wave_bill_allocation: bill_id=143 invoice_date=2023-12-08 vendor=Costco - Bill 22134500703182312081530 account=6600 amount_cents=64839 alloc_total_cents=64839,Receipt lines: AIR 5 64GB 768.39 - TPD/IPADAIR discount 120.00 => net 648.39 (Costco 2023-12-08).
FY2025,nayax_card_reader_2025_02_24,Nayax card reader for vending machine,capitalize,mirror_tax,2025-02-24,2025-02-24,55743,557,55743,557,11100,111,1740,1741,8670,account=5300 gifi=8710 amount_cents=55743 vendor=Nayax - Bill invoice_date=2025-02-24,wave_bill_allocation: bill_id=628 invoice_date=2025-02-24 vendor=Nayax - Bill account=5300 amount_cents=55743 alloc_total_cents=55743,Reclass from merchant fees for tax/CCA only
FY2025,shopify_card_reader_2024_11_12,Shopify card reader hardware,capitalize,mirror_tax,2024-11-12,2024-11-12,47900,479,47900,479,47900,479,1740,1741,8670,account=6600 gifi=8810 amount_cents=45900 vendor=Shopify - Bill invoice_date=2024-11-12 | account=6550 gifi=9275 amount_cents=2000 vendor=Shopify - Bill invoice_date=2024-11-12,wave_bill_allocation: bill_id=473 invoice_date=2024-11-12 vendor=Shopify - Bill account=6600 amount_cents=45900 alloc_total_cents=45900 | wave_bill_allocation: bill_id=473 invoice_date=2024-11-12 vendor=Shopify - Bill account=6550 amount_cents=2000 alloc_total_cents=2000,Shopify card reader hardware (includes freight line)
FY2025,walmart_coffee_grinder_2024_09_17,Coffee grinder (Walmart),capitalize,mirror_tax,2024-09-17,2024-09-17,18367,184,18367,184,18400,184,1740,1741,8670,account=6600 gifi=8810 amount_cents=18367 vendor=Walmart - Bill invoice_date=2024-09-17,wave_bill_allocation: bill_id=371 invoice_date=2024-09-17 vendor=Walmart - Bill account=6600 amount_cents=18367 alloc_total_cents=18367,Specs: 4kg; 43x23x14cm; ABS body; 200W; 1800-2000rpm; 1L capacity; includes grinder + manual.
