fy,source_fy2025_path,source_fy2025_total,target_center,target_lower,target_upper,scale_factor,result_total,category,product,qty,unit_cost,line_total,notes
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Condiments,Splenda,46,0.04102,1.89,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Condiments,Sugar Portion,205,0.017195,3.52,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Condiments,Sweet and Sour Packs,68,0.2405,16.35,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Condiments,White Vinegar,256,0.04116,10.54,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,10 oz Containers,51,0.1,5.10,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,2oz Portion Plastic Cups,256,0.019668,5.04,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,2Oz Portion Plastic Lids,333,0.0174,5.79,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,3oz disposable cups,256,0.049153,12.58,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,3oz lids,641,0.049865,31.96,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,5lb bags,1026,0.03796,38.95,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,6x6 containers,641,0.26974,172.90,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,8oz cups,308,0.11403,35.12,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,8oz lids,308,0.07048,21.71,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,8x8 Containers,385,0.5378,207.05,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,Coffee Cups,436,0.12705,55.39,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,Coffee Lids,256,0.10882,27.86,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,Coffee Stirrers,2565,0.007206,18.48,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,Drink Trays,123,0.146667,18.04,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,hot dog holders,1128,0.048,54.14,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,Jr Napkins,769,0.025,19.23,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,Nacho Trays,154,0.37246,57.36,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,Oil Filters,180,0.35754,64.36,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,Paper Portion Cup,2308,0.035146,81.12,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,Plates,64,0.8,51.20,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,US Forks,1026,0.03,30.78,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Disposables,Ziploc Bags,5,3.333333,16.67,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Dry Food,Canola Oil,2,48,96.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Dry Food,Chilli,2,2,4.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Dry Food,Costco Chicken,12,3.165,37.98,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Dry Food,Fry Powder,0.13,100,13.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Dry Food,Gravy,11,5.60875,61.70,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Dry Food,Green Tea,5,1.2,6.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Dry Food,House Blend Coffee,3,18,54.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Dry Food,Kirkland K-Cups,66,0.36,23.76,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Dry Food,Lemon Juice,2,3,6.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Dry Food,Spices,1,40,40.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Dry Food,Sugar (2kg),1,4,4.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Dry Food,Tallow,0.26,80,20.80,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Frozen,Breakfast Wraps,1,17.99,17.99,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Frozen,Chicken Strips,13,8.9975,116.97,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Frozen,Crinkle Cut Fries,6,8.611667,51.67,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Frozen,Fries,5,6.673333,33.37,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Frozen,Hashbrowns,1,7.99,7.99,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Frozen,Mozza Bites,13,18.99,246.87,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Frozen,Onion Rings,3,22.52,67.56,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Frozen,Pepperoni (Large),6,16.99,101.94,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Frozen,Sweet Potato Fries,1,10.912,10.91,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,$1 bin,41,0.4,16.40,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,50 cent bin,77,0.2,15.40,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Bags of Candy (Kg),109,12,1308.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Caramel Apple Suckers,40,0.833333,33.33,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Chocolate Bars,359,1,359.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Chupa Suckers,31,0.15,4.65,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Cutie Roller,15,1.466667,22.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Double Rocket Loli,37,0.384615,14.23,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Excel Gum,21,0.740741,15.56,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Go go Squeeze,51,0.4,20.40,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Goldfish,12,0.583333,7.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Halls,31,1.3,40.30,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Haribo Bags,31,2.4,74.40,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Hot Rods,18,0.333333,6.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Large Bag Hichew,2,12,24.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Liquid IV,21,1,21.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Mega Sour Spray,49,1.333333,65.33,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Nerd Ropes,12,1.166667,14.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Pickles in Pouch,37,1.5,55.50,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Pushpop,26,1,26.00,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,ring pops,37,0.533333,19.73,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Skittles,37,1.833333,67.83,rounded qty
FY2024,/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/Canteen Inventory May 16 2025 - Sheet1.csv,10015.47,5137.00,5087.00,5187.00,0.51290653,5129.04,Snacks,Yoohoo bars,205,0.2,41.00,rounded qty
