fy,vendor_key,account_code,amount
FY2025,WALMART,2210,74.33
FY2025,WALMART,5039,567.66
FY2025,WALMART,5204,47.30
FY2025,WALMART,6300,94.61
FY2025,WALMART,6600,236.50
