asset_id,description,cca_class,fiscal_year,available_for_use_date,total_cost_cents,total_cost_dollars,claim_percent_of_max,half_year_rule,half_year_applied,source_breakdown
nayax_card_reader_2025_02_24,Nayax card reader for vending machine,8,FY2025,2025-02-24,55743,557,1.0,yes,no,wave_bill_allocation: bill_id=628 invoice_date=2025-02-24 vendor=Nayax - Bill account=5300 amount_cents=55743 alloc_total_cents=55743
costco_freezer_2024_03_13,Hisense freezer (Costco),8,FY2024,2024-03-13,54999,550,1.0,yes,no,wave_bill_allocation: bill_id=256 invoice_date=2024-03-13 vendor=Costco - Bill account=6600 amount_cents=54999 alloc_total_cents=54999
walmart_coffee_grinder_2024_09_17,Coffee grinder (Walmart),12,FY2025,2024-09-17,18367,184,1.0,no,no,wave_bill_allocation: bill_id=371 invoice_date=2024-09-17 vendor=Walmart - Bill account=6600 amount_cents=18367 alloc_total_cents=18367
ams_lb9_vending_machine_2024_02_20,AMS-LB9 vending machine (Electric Kitty),8,FY2024,2024-02-20,110000,1100,1.0,yes,no,wave_bill_allocation: bill_id=221 invoice_date=2024-02-20 vendor=Electric Kitty - Bill account=6600 amount_cents=110000 alloc_total_cents=110000
costco_ipad_air_2023_12_08,iPad Air 5 64GB (Costco),50,FY2024,2023-12-08,64839,648,1.0,yes,yes,wave_bill_allocation: bill_id=143 invoice_date=2023-12-08 vendor=Costco - Bill 22134500703182312081530 account=6600 amount_cents=64839 alloc_total_cents=64839
shopify_card_reader_2024_11_12,Shopify card reader hardware,12,FY2025,2024-11-12,47900,479,1.0,no,no,wave_bill_allocation: bill_id=473 invoice_date=2024-11-12 vendor=Shopify - Bill account=6600 amount_cents=45900 alloc_total_cents=45900 | wave_bill_allocation: bill_id=473 invoice_date=2024-11-12 vendor=Shopify - Bill account=6550 amount_cents=2000 alloc_total_cents=2000
