cc_card_last4,bank_txn_id,bank_date,bank_amount,prev_payment_date,period_wave_matched_purchases,allocated_to_wave_any,allocated_cc_alloc_v1,allocated_manual_split_v1,period_minus_allocated,bank_minus_allocated,bank_description
0318,1455,2023-12-08,192.37,2023-12-06,0.00,0.00,0.00,0.00,0.00,192.37,Internet Banking INTERNET TRANSFER000000214217 4500*********318
0318,1421,2023-12-28,26.36,2023-12-08,0.00,0.00,0.00,0.00,0.00,26.36,Internet Banking INTERNET TRANSFER000000121436 4500*********318
0318,1422,2023-12-28,28.68,2023-12-28,0.00,0.00,0.00,0.00,0.00,28.68,Internet Banking INTERNET TRANSFER000000132044 4500*********318
0318,1424,2023-12-28,41.81,2023-12-28,0.00,0.00,0.00,0.00,0.00,41.81,Internet Banking INTERNET TRANSFER000000129842 4500*********318
0318,1426,2023-12-28,265.37,2023-12-28,0.00,0.00,0.00,0.00,0.00,265.37,Internet Banking INTERNET TRANSFER000000128628 4500*********318
0318,1409,2024-01-04,27.53,2023-12-28,0.00,27.53,27.53,0.00,-27.53,0.00,Internet Banking INTERNET TRANSFER000000117064 4500*********318
0318,1410,2024-01-04,14.32,2024-01-04,0.00,14.32,14.32,0.00,-14.32,0.00,Internet Banking INTERNET TRANSFER000000116437 4500*********318
0318,1411,2024-01-04,33.66,2024-01-04,0.00,0.00,0.00,0.00,0.00,33.66,Internet Banking INTERNET TRANSFER000000101631 4500*********318
0318,1412,2024-01-04,102.54,2024-01-04,0.00,0.00,0.00,0.00,0.00,102.54,Internet Banking INTERNET TRANSFER000000115749 4500*********318
0318,1414,2024-01-04,43.42,2024-01-04,0.00,0.00,0.00,0.00,0.00,43.42,Internet Banking INTERNET TRANSFER000000115149 4500*********318
0318,1415,2024-01-04,48.87,2024-01-04,0.00,0.00,0.00,0.00,0.00,48.87,Internet Banking INTERNET TRANSFER000000114975 4500*********318
0318,1416,2024-01-04,27.53,2024-01-04,0.00,0.00,0.00,0.00,0.00,27.53,Internet Banking INTERNET TRANSFER000000114671 4500*********318
0318,1398,2024-01-08,38.42,2024-01-04,703.22,38.42,38.42,0.00,664.80,0.00,Internet Banking INTERNET TRANSFER000000105351 4500*********318
0318,1402,2024-01-08,292.30,2024-01-08,0.00,584.60,0.00,584.60,-584.60,-292.30,Internet Banking INTERNET TRANSFER000000106868 4500*********318
0318,1404,2024-01-08,20.10,2024-01-08,0.00,40.20,0.00,40.20,-40.20,-20.10,Internet Banking INTERNET TRANSFER000000106334 4500*********318
0318,1393,2024-01-09,39.87,2024-01-08,0.00,0.00,0.00,0.00,0.00,39.87,Internet Banking INTERNET TRANSFER000000101612 4500*********318
0318,1387,2024-01-10,58.76,2024-01-09,0.00,58.76,58.76,0.00,-58.76,0.00,Internet Banking INTERNET TRANSFER000000203423 4500*********318
0318,1388,2024-01-10,192.37,2024-01-10,0.00,0.00,0.00,0.00,0.00,192.37,Internet Banking INTERNET TRANSFER000000231179 4500*********318
0318,1391,2024-01-10,288.65,2024-01-10,0.00,288.65,288.65,0.00,-288.65,0.00,Internet Banking INTERNET TRANSFER000000127724 4500*********318
0318,1368,2024-01-22,63.75,2024-01-10,146.40,63.75,63.75,0.00,82.65,0.00,Internet Banking INTERNET TRANSFER000000130952 4500*********318
0318,1369,2024-01-22,28.92,2024-01-22,0.00,28.92,28.92,0.00,-28.92,0.00,Internet Banking INTERNET TRANSFER000000130745 4500*********318
0318,1370,2024-01-22,104.03,2024-01-22,0.00,0.00,0.00,0.00,0.00,104.03,Internet Banking INTERNET TRANSFER000000130437 4500*********318
0318,1371,2024-01-22,54.49,2024-01-22,0.00,54.49,54.49,0.00,-54.49,0.00,Internet Banking INTERNET TRANSFER000000105426 4500*********318
0318,1372,2024-01-22,7.38,2024-01-22,0.00,7.38,7.38,0.00,-7.38,0.00,Internet Banking INTERNET TRANSFER000000112780 4500*********318
0318,1343,2024-01-29,53.52,2024-01-22,340.57,53.52,53.52,0.00,287.05,0.00,Internet Banking INTERNET TRANSFER000000209780 4500*********318
