wave_bill_id,entry_date,bill_total,bill_total_cents,settlement_amount,settlement_amount_cents,match_type,bank_txn_id,cc_txn_id,shareholder_code,shareholder_basis,journal_entry_id
61,2023-09-22,2346.93,234693,2346.93,234693,CC_PURCHASE,,4135,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_61
66,2023-09-27,40.18,4018,40.18,4018,CC_PURCHASE,,4132,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_66
68,2023-09-26,56.35,5635,56.35,5635,CC_PURCHASE,,4133,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_68
69,2023-09-27,37.71,3771,37.71,3771,CC_PURCHASE,,4131,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_69
71,2023-09-28,1215.36,121536,1215.36,121536,CC_PURCHASE,,4121,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_71
75,2024-01-22,104.03,10403,104.03,10403,CC_PAYMENT_TRANSFER,1370,,2410,cc_payment_links,WAVE_BILL_CC_SETTLE_75
76,2023-10-04,19.54,1954,19.54,1954,CC_PURCHASE,,1583,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_76
77,2023-10-05,29.96,2996,29.96,2996,CC_PURCHASE,,1581,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_77
78,2023-10-04,76.38,7638,76.38,7638,CC_PAYMENT_MANUAL,,,2410,manual_override:Wave match CC_PAYMENT_TRANSFER missing bank_txn_id; assume Dwayne card.,WAVE_BILL_CC_SETTLE_78
80,2023-10-10,851.32,85132,851.32,85132,CC_PURCHASE,,4101,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_80
81,2023-10-20,101.93,10193,101.93,10193,CC_PAYMENT_TRANSFER,1608,,2410,cc_payment_links,WAVE_BILL_CC_SETTLE_81
82,2023-10-09,101.96,10196,101.96,10196,CC_PAYMENT_MANUAL,,,2410,manual_override:Wave match CC_PAYMENT_TRANSFER missing bank_txn_id; assume Dwayne card.,WAVE_BILL_CC_SETTLE_82
83,2023-10-10,82.49,8249,82.49,8249,CC_PURCHASE,,4100,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_83
84,2023-10-20,82.49,8249,82.49,8249,CC_PAYMENT_TRANSFER,1601,,2410,cc_payment_links,WAVE_BILL_CC_SETTLE_84
85,2023-10-11,10.24,1024,10.24,1024,CC_PURCHASE,,4098,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_85
86,2023-10-31,1040.85,104085,1040.85,104085,CC_PURCHASE,,1505,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_86
88,2023-10-20,224.07,22407,224.07,22407,CC_PAYMENT_TRANSFER,1603,4096,2410,cc_payment_links,WAVE_BILL_CC_SETTLE_88
89,2023-10-16,62.54,6254,62.54,6254,CC_PURCHASE,,4095,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_89
91,2023-10-16,48.27,4827,48.27,4827,CC_PURCHASE,,4094,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_91
92,2023-10-18,236.73,23673,236.73,23673,CC_PURCHASE,,4093,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_92
94,2023-10-23,167.85,16785,167.85,16785,CC_PAYMENT_TRANSFER,1596,,2410,cc_payment_links,WAVE_BILL_CC_SETTLE_94
97,2023-10-23,52.16,5216,52.16,5216,CC_PURCHASE,,1553,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_97
98,2023-10-23,34.49,3449,34.49,3449,CC_PURCHASE,,4080,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_98
99,2023-10-23,62.54,6254,62.54,6254,CC_PAYMENT_TRANSFER,1564,,2410,cc_payment_links,WAVE_BILL_CC_SETTLE_99
100,2023-10-23,1371.82,137182,1371.82,137182,CC_PURCHASE,,4081,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_100
101,2024-01-04,33.66,3366,33.66,3366,CC_PAYMENT_TRANSFER,1411,,2410,cc_payment_links,WAVE_BILL_CC_SETTLE_101
102,2023-10-25,14.32,1432,14.32,1432,CC_PURCHASE,,1524,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_102
103,2023-10-25,27.53,2753,27.53,2753,CC_PURCHASE,,1523,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_103
106,2023-11-01,631.81,63181,631.81,63181,CC_PAYMENT_TRANSFER,1539,,2410,cc_payment_links,WAVE_BILL_CC_SETTLE_106
108,2023-10-30,1977.98,197798,1977.98,197798,CC_PURCHASE,,4058,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_108
112,2023-11-03,22.99,2299,22.99,2299,CC_PURCHASE,,4053,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_112
113,2023-11-03,1366.17,136617,1366.17,136617,CC_PURCHASE,,4051,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_113
114,2023-11-03,138.00,13800,138.00,13800,CC_PURCHASE,,4052,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_114
118,2023-11-06,185.39,18539,185.39,18539,CC_PURCHASE,,1485,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_118
119,2023-11-03,76.01,7601,76.01,7601,CC_PAYMENT_TRANSFER,1529,1484,2410,cc_payment_links,WAVE_BILL_CC_SETTLE_119
120,2023-11-08,110.92,11092,110.92,11092,CC_PAYMENT_TRANSFER,1518,1481,2410,cc_payment_links,WAVE_BILL_CC_SETTLE_120
123,2023-11-09,57.49,5749,57.49,5749,CC_PURCHASE,,1471,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_123
124,2023-11-14,1659.22,165922,1659.22,165922,CC_PURCHASE,,4047,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_124
128,2023-11-20,2129.38,212938,2129.38,212938,CC_PURCHASE,,4033,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_128
131,2023-11-14,929.00,92900,929.00,92900,CC_PURCHASE,,1458,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_131
133,2023-11-27,142.49,14249,142.49,14249,CC_PURCHASE,,1436,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_133
134,2023-11-30,158.99,15899,158.99,15899,CC_PURCHASE,,4004,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_134
135,2023-12-04,11.48,1148,11.48,1148,CC_PURCHASE,,4000,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_135
138,2023-12-04,1194.88,119488,1194.88,119488,CC_PURCHASE,,3992,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_138
139,2023-12-06,274.10,27410,274.10,27410,CC_PURCHASE,,3985,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_139
140,2023-12-06,36.08,3608,36.08,3608,CC_PURCHASE,,1416,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_140
143,2023-12-11,1212.36,121236,1212.36,121236,CC_PURCHASE,,3973,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_143
