id,allocation_id,external_system,external_kind,external_id,notes
150a2a4d-0413-5b47-9ab8-29c1d17fe4e0,00f39667-8752-5d6d-9887-7ec5450b5758,gfs,invoice,9003246118,
79134c2e-9d4a-5a20-b072-8dbd9371eff5,00f39667-8752-5d6d-9887-7ec5450b5758,wave,bill,36,invoice_number=9003246118
210c7ecf-5ac7-5a93-830d-fa4318ac07af,aae6ef12-7df8-5fe0-9b10-ac9b91b82ec1,gfs,invoice,9012388498,
5a4a649e-509e-5338-938b-bd2cf237fc51,aae6ef12-7df8-5fe0-9b10-ac9b91b82ec1,wave,bill,326,invoice_number=9012388498
2e20e55d-f266-56c3-8e5c-3e5b2e628d6c,c869facc-9cd5-566a-9c8d-3408f580ce57,gfs,invoice,9012419964,
06cc58e3-d9e4-574c-b040-97e94defc0a1,c869facc-9cd5-566a-9c8d-3408f580ce57,wave,bill,327,invoice_number=9012419964
a07bb14a-d827-56d0-9176-e5c848f92d81,bf8c599b-d58f-52df-a3ef-685a06ed7c42,gfs,invoice,9012713784,
25c6ae6b-00c7-566a-b6fc-b547ff20d95e,bf8c599b-d58f-52df-a3ef-685a06ed7c42,wave,bill,330,invoice_number=9012713784
dd38d1bc-0526-52d8-b161-5e5b446bc7dc,80cfa0ed-dc79-54e6-9830-01165c86f1ea,gfs,invoice,9013501649,
5b6f283b-31a3-5e88-9b55-725a684586c5,80cfa0ed-dc79-54e6-9830-01165c86f1ea,wave,bill,342,invoice_number=9013501649
fa4be9d6-eb8d-5af1-b0cd-c87eb8f1daa9,50aae3a0-8749-5659-a510-b0e2697fba0d,gfs,invoice,9013663225,
b4848d72-ee18-5105-aec2-373f48b2eb80,50aae3a0-8749-5659-a510-b0e2697fba0d,wave,bill,352,invoice_number=9013663225
3aa77c86-940b-5411-bb77-cb91e5d6e1a2,37e83848-464e-565f-8290-655839d33486,gfs,invoice,9013664381,
00c9ede0-18a6-5502-b065-26212a5b9c09,37e83848-464e-565f-8290-655839d33486,wave,bill,351,invoice_number=9013664381
58a43ce9-d2b9-5f14-8a89-bc01632e452d,bd3e3535-c168-547c-bf47-f94fc69ba25d,gfs,invoice,9013824877,
40a5469d-95d6-59d2-ba63-3f790dea24c1,bd3e3535-c168-547c-bf47-f94fc69ba25d,wave,bill,358,invoice_number=9013824877
68162f5d-f530-54cc-ad36-a362fa21dace,29c7d4d1-4257-5e9e-bec6-d4dc555375ee,gfs,invoice,9013837326,
19c1b7fd-de9a-5c06-8790-c6075eb1cf58,29c7d4d1-4257-5e9e-bec6-d4dc555375ee,wave,bill,363,invoice_number=9013837326
178cb481-50f9-5ff8-b3c4-eded8ec1996e,0c05659f-7160-5ff7-b344-4f66a4b6f892,gfs,invoice,9014036877,
b2fda559-2457-5dc2-828a-0eacbe98fff5,0c05659f-7160-5ff7-b344-4f66a4b6f892,wave,bill,366,invoice_number=9014036877
24b6bd99-18b9-57cb-bdf9-c369e04dd180,f0f282a6-489b-58cb-8e1e-4ed86a38e232,gfs,invoice,9014096231,
6e7a8c26-27da-5821-9322-a180fc4c92fc,f0f282a6-489b-58cb-8e1e-4ed86a38e232,wave,bill,369,invoice_number=9014096231
2ab40c13-e79d-5ec9-9b71-ad8839c2510c,df50b658-05e6-578f-9e62-e1ee2265268f,gfs,invoice,9014294880,
09141aba-0c14-540b-95ae-740ce277a7d5,df50b658-05e6-578f-9e62-e1ee2265268f,wave,bill,375,invoice_number=9014294880
7de1b185-5862-56cc-b522-c6fb6e1a4e10,0b812ce4-b5b6-59f3-bf09-1959ca7724fd,gfs,invoice,9014383591,
218a31b8-2707-5d95-977a-eb91b2b3bb50,0b812ce4-b5b6-59f3-bf09-1959ca7724fd,wave,bill,382,invoice_number=9014383591
2476da93-5408-53e3-8ed3-1e8a0f179c99,2cc52b07-317b-51d7-84bf-ddf91d0daf2a,gfs,invoice,9014406188,
83b47387-b496-5c97-8964-61cf3fb9283b,2cc52b07-317b-51d7-84bf-ddf91d0daf2a,wave,bill,383,invoice_number=9014406188
e43825e6-0a22-57d5-b61b-b0f14204944c,039fad0f-66ad-5e51-8a23-255f9f183f91,gfs,invoice,9014549646,
39a5057f-d905-5b17-bc44-6f1e8a1fbbaf,039fad0f-66ad-5e51-8a23-255f9f183f91,wave,bill,393,invoice_number=9014549646
f0bb08f6-f8c7-56e7-84e7-7165909319d6,d43ca9f9-0ae4-534d-b6bb-a16a6b833188,gfs,invoice,9014589017,
a43c42dd-dbb5-539b-96c8-af7201436213,d43ca9f9-0ae4-534d-b6bb-a16a6b833188,wave,bill,399,invoice_number=9014589017
47f1131c-1446-5c2c-bcc6-369b76c3f100,579fa5dc-c39e-5ec7-9389-0f3365b15858,gfs,invoice,9014609851,
ba197efe-d5e7-522d-a614-ebde051a7d80,579fa5dc-c39e-5ec7-9389-0f3365b15858,wave,bill,398,invoice_number=9014609851
c586a598-49f6-5d7d-b81d-50158245781e,b204af81-0f1a-5c3a-b80e-5e2f01daf1f7,gfs,invoice,9014750800,
d386a0a6-b7da-5c72-a973-742cb34ff23f,b204af81-0f1a-5c3a-b80e-5e2f01daf1f7,wave,bill,403,invoice_number=9014750800
95fad067-fd42-5ea5-8437-8074c21682d4,6ba26f7c-e49c-53e2-87ca-924fad5b3b06,gfs,invoice,9014783184,
52e6daf7-a027-5a2c-8290-08b7cb5cf0fd,6ba26f7c-e49c-53e2-87ca-924fad5b3b06,wave,bill,402,invoice_number=9014783184
36012022-6c2f-5d92-93d7-a52ebb312e92,9f71b371-52e2-5c8a-9f01-22f96d82e831,gfs,invoice,9014962246,
a09d81c1-83bf-5a16-a34a-bde73b87c9f6,9f71b371-52e2-5c8a-9f01-22f96d82e831,wave,bill,412,invoice_number=9014962246
7833f644-5a96-5505-ba16-fc55e21e2231,20f94a37-0e33-56a8-9d0a-c60153327ecf,gfs,invoice,9015055269,
0b2c0d0f-c695-5ab8-805c-fee02650d49a,20f94a37-0e33-56a8-9d0a-c60153327ecf,wave,bill,418,invoice_number=9015055269
b9bc5b11-789d-5e4d-99b6-c86af7428019,88325959-4d99-524a-a6b9-6bc3a1a4db7e,gfs,invoice,9015111433,
d0f70715-859d-5496-ae76-e26f89892fbc,88325959-4d99-524a-a6b9-6bc3a1a4db7e,wave,bill,420,invoice_number=9015111433
c9891c77-39a6-5fdd-a5c7-74993c1ba37a,4b731afd-bc14-56ae-a47e-0d7321eda94b,gfs,invoice,9015204709,
e3a64280-f98a-585a-9f0b-09e6bb5b8ad3,4b731afd-bc14-56ae-a47e-0d7321eda94b,wave,bill,423,invoice_number=9015204709
3c162b32-fda5-5b64-98db-a6c75a4fad65,2a7e0b96-cfb6-54fd-92f1-ebc3820e8f2e,gfs,invoice,9015302439,
85a0c633-59a7-58c1-8b1e-362f59a3de60,2a7e0b96-cfb6-54fd-92f1-ebc3820e8f2e,wave,bill,429,invoice_number=9015302439
f0d8c65f-32ca-5410-88cd-3735181abfbe,0a97a8b9-c4c6-5376-9be1-af1015a1c354,gfs,invoice,2001780129,
2bfef518-6c54-503f-a52a-a405a391fe5c,0a97a8b9-c4c6-5376-9be1-af1015a1c354,wave,bill,728,invoice_number=2001780129
65da2bc1-6835-5798-ba99-3836b1519fa0,0513276d-816c-593b-9f67-06d56060df7a,gfs,invoice,9015480379,
eb01291b-bad1-56ee-91f0-bd2b0ec55ee7,0513276d-816c-593b-9f67-06d56060df7a,wave,bill,438,invoice_number=9015480379
9813a364-2eea-5ef6-82a7-d9008fa5e664,4fbdbb84-a1d7-5642-81ba-335627bf0404,gfs,invoice,9015554603,
4461f688-8f26-5e6b-a000-408e7baefb3e,4fbdbb84-a1d7-5642-81ba-335627bf0404,wave,bill,447,invoice_number=9015554603
21d259d7-721c-5ff1-a922-e202033c4340,2c3b019f-9730-5875-b61c-df898c555a31,gfs,invoice,9015806407,
6b980772-6684-5b03-a7d7-23656ed72adc,2c3b019f-9730-5875-b61c-df898c555a31,wave,bill,460,invoice_number=9015806407
bfd2c738-3aad-5226-ac91-18eaa8b9c8e5,12f9c9ab-6916-567c-b757-c5db3ae5f681,gfs,invoice,9015806844,
4f2c0412-50c7-59f5-9afc-cbbb9957aca3,12f9c9ab-6916-567c-b757-c5db3ae5f681,wave,bill,459,invoice_number=9015806844
f63fc9dd-e92f-5496-853a-4121bed5614e,ce9e28c2-ada2-51f1-b686-606a6a0ffacf,gfs,invoice,9015983805,
1295cbdb-97a2-5225-bfb6-80b43d1111da,ce9e28c2-ada2-51f1-b686-606a6a0ffacf,wave,bill,465,invoice_number=9015983805
1edba9c9-8599-501e-b730-aca00fc97a33,aa9e27eb-ba7a-516c-be63-af146a2fd749,gfs,invoice,9016098857,
3557d081-eb9e-530b-b537-5e5d3d090de6,aa9e27eb-ba7a-516c-be63-af146a2fd749,wave,bill,472,invoice_number=9016098857
43eec85f-9f9b-5614-8e03-d6364e6042e1,33da8123-b77f-5647-ac28-876854103aa9,gfs,invoice,9016122014,
9dd2282e-2f7e-5a71-8e63-a8fac92ab2b8,33da8123-b77f-5647-ac28-876854103aa9,wave,bill,471,invoice_number=9016122014
89c933c4-f3ac-5c9e-b407-43919522cea9,0d8ae41a-c504-5bf4-bdcc-5464e69f4531,gfs,invoice,9016230977,
a5d74a38-28ea-5dd5-9c30-61c747eb070e,0d8ae41a-c504-5bf4-bdcc-5464e69f4531,wave,bill,479,invoice_number=9016230977
11ed8d49-196d-51dd-8634-cbf088826141,3b4477c4-d8c2-5e4f-8c44-8f4cea4e820e,gfs,invoice,9016490855,
c3a56b30-f526-57dc-919b-983c1f85ad28,3b4477c4-d8c2-5e4f-8c44-8f4cea4e820e,wave,bill,484,invoice_number=9016490855
fc1dbd2f-d02b-5155-bd0e-70742b58fdb3,fb92fe3a-b929-585d-8136-87886b02f164,gfs,invoice,9016564992,
6dc457be-884e-5b03-86d4-35dc320b0a8a,fb92fe3a-b929-585d-8136-87886b02f164,wave,bill,485,invoice_number=9016564992
ef66822b-d017-55ab-bb3c-63dce0ab3548,eb8acf20-ab34-5f9a-9d3e-d89f60e88a5a,gfs,invoice,9016753711,
4a847cd3-f0c1-5ee9-9ee3-8e259a517870,eb8acf20-ab34-5f9a-9d3e-d89f60e88a5a,wave,bill,497,invoice_number=9016753711
b326c1dc-04f9-5745-8d39-6989d92cd524,03f4f6bb-941d-5caf-97b1-4f5c9fb67cba,gfs,invoice,9016950083,
502942ff-4589-567b-beaa-e9ce2cda1f7e,03f4f6bb-941d-5caf-97b1-4f5c9fb67cba,wave,bill,517,invoice_number=9016950083
77acb4a8-f5bf-5696-9680-d6e283468acd,43f23508-f5b0-5ead-bd5c-72a7fcb12842,gfs,invoice,9017022468,
27425d52-aa09-5032-9435-0595efebd6e2,43f23508-f5b0-5ead-bd5c-72a7fcb12842,wave,bill,518,invoice_number=9017022468
16b0f511-c75a-5af9-ba4d-c39f29a4e4b2,fcb37d4a-429a-5185-b254-876328d93c74,gfs,invoice,9017091772,
feaaf8ef-d38f-5a69-9bc5-8680272d464a,fcb37d4a-429a-5185-b254-876328d93c74,wave,bill,521,invoice_number=9017091772
892f1136-e266-5add-9875-b7488389fd72,9da19947-2c86-50c0-b816-f10c5ec27990,gfs,invoice,9017258411,
3179881a-3e0a-5471-8b52-813c1a17d560,9da19947-2c86-50c0-b816-f10c5ec27990,wave,bill,529,invoice_number=9017258411
7e1997c8-ad6f-547a-a570-63eb824bb571,50828d8e-c529-5bae-991b-485b5177af9e,gfs,invoice,9017524422,
8e6f334f-2cfe-5591-be2c-611a8fc1893f,50828d8e-c529-5bae-991b-485b5177af9e,wave,bill,540,invoice_number=9017524422
f406b79e-ad72-5158-94a9-52fefeeaa00c,035a86a6-7bae-5db1-a9d8-373893d34771,gfs,invoice,9017785533,
d4d47888-0177-5032-961c-9771aeff6c94,035a86a6-7bae-5db1-a9d8-373893d34771,wave,bill,546,invoice_number=9017785533
606fe2ee-25e3-54e5-aae9-c37c0e5ea9a8,131b03b9-2cb9-5a2a-a534-c56fec78e1f1,gfs,invoice,9017847614,
c925c744-3437-5ca6-940b-83e0b34ea924,131b03b9-2cb9-5a2a-a534-c56fec78e1f1,wave,bill,548,invoice_number=9017847614
594a496a-ca8b-571e-b210-0eddebbff253,9ddb0e40-7e94-5cb4-bd31-5b926db7e559,gfs,invoice,9018093147,
7eecfe2c-08af-5036-83a0-9264650d9577,9ddb0e40-7e94-5cb4-bd31-5b926db7e559,wave,bill,562,invoice_number=9018093147
27a7f043-bf75-5178-a409-e08862058b35,1ab58d03-b93a-5a18-92b3-b8f6e8a701b9,gfs,invoice,9018118048,
a5728e35-b023-53ea-943f-19cb8b896072,1ab58d03-b93a-5a18-92b3-b8f6e8a701b9,wave,bill,563,invoice_number=9018118048
4c2a0c00-11ce-5488-8ecf-0ce580eb23d9,b415ce2a-e273-5138-997a-c20db4105eed,gfs,invoice,9018308927,
45ec8b4f-5b76-599e-8a79-cb6340affecd,b415ce2a-e273-5138-997a-c20db4105eed,wave,bill,572,invoice_number=9018308927
a0d2a6ca-156c-5166-ac90-33f8a4537493,6edf2cf3-7f22-5838-bf69-a7583480ed1b,gfs,invoice,9018338730,
2000c47e-059b-5603-a9ec-7c442a22b0c4,6edf2cf3-7f22-5838-bf69-a7583480ed1b,wave,bill,573,invoice_number=9018338730
cee91b18-7df6-5f8e-ba8a-ddfefb6c4ad8,4ae8480b-d228-54c6-a2aa-dca5857d6b5c,gfs,invoice,9018356757,
80c0167f-7294-500b-8588-ee6e800b3be5,4ae8480b-d228-54c6-a2aa-dca5857d6b5c,wave,bill,574,invoice_number=9018356757
e625942a-3ae3-58b2-8398-5ec8d7ec87b4,d684dbee-3655-5b8f-ab3f-db8a4094e878,gfs,invoice,9018587030,
da451fa1-3e03-53eb-a8af-aa171848445a,d684dbee-3655-5b8f-ab3f-db8a4094e878,wave,bill,584,invoice_number=9018587030
bf36e0a7-4e42-5492-8728-e0e8b3acd0e9,4af87c38-9fbf-558e-b9a9-c4e176806fd2,gfs,invoice,9018628162,
25f536fe-d340-5969-8cc9-c1ca51921bf1,4af87c38-9fbf-558e-b9a9-c4e176806fd2,wave,bill,585,invoice_number=9018628162
1627a739-b4e4-599a-ad2d-bac5b24432ee,9b5b3837-fd73-5450-b109-4efb685a7f42,gfs,invoice,9018826421,
2240f7d7-fcfb-535a-a6bc-745bce6f6100,9b5b3837-fd73-5450-b109-4efb685a7f42,wave,bill,595,invoice_number=9018826421
a36878a1-3513-50f4-a0b8-69152c44995b,4c719c00-abe6-5bc0-b300-a242b40ebd94,gfs,invoice,9019024514,
5660b3c0-7ac7-5f4d-bfce-0041153dcf5d,4c719c00-abe6-5bc0-b300-a242b40ebd94,wave,bill,605,invoice_number=9019024514
0083841e-6e94-520d-9e51-14511bacc892,511bbb56-5f15-539b-9a3e-172a64c2f7e5,gfs,invoice,9019250185,
ae5e90d2-5634-522e-ba87-76859f0715b1,511bbb56-5f15-539b-9a3e-172a64c2f7e5,wave,bill,729,invoice_number=9019250185
889b19f6-03bf-5244-a7d9-16e2f2ef965a,ea4cc402-557a-50e6-bd46-485e947998f5,gfs,invoice,9019304169,
7070be8a-4bfe-5b93-9e52-40708c44847d,ea4cc402-557a-50e6-bd46-485e947998f5,wave,bill,619,invoice_number=9019304169
431cfb6c-95f2-53a1-90cf-6d30b63c3379,7db0fa83-a74a-59a4-a3bc-c8851c5cc79b,gfs,invoice,9019510794,
2f5b462c-03fe-5e91-9234-6e1dd7220a6f,d705127a-e6a2-560e-9a75-584f989e1e77,gfs,invoice,9019803957,
64779272-8e95-5d8e-aade-2c19ff171016,f7c28c05-e88e-5aa4-92e8-02e2c787cd64,gfs,invoice,9019984354,
008ad8c2-1936-568b-bf30-ce68a2f2bc28,f7c28c05-e88e-5aa4-92e8-02e2c787cd64,wave,bill,639,invoice_number=9019984354
b478c970-6be1-5169-9622-03fb4fa0430b,81d4d1a0-6a4f-5835-b7b8-bf49db546dda,gfs,invoice,9020315231,
cbda6d1f-8582-5132-a022-f4794e4f8282,81d4d1a0-6a4f-5835-b7b8-bf49db546dda,wave,bill,654,invoice_number=9020315231
2f011364-5248-5600-8328-b7d41043ea56,1b35f139-686c-50f7-9dc5-9a9fe08a94a6,gfs,invoice,9020484316,
5d54783c-c341-542b-8afc-1f32e1f598ef,1b35f139-686c-50f7-9dc5-9a9fe08a94a6,wave,bill,668,invoice_number=9020484316
34cb4b35-9b93-5b87-82a6-521936a261e8,90bcecdd-64a0-55bf-a7a4-a04ea6e812c6,gfs,invoice,9020622999,
409513e0-d45a-5780-adb4-b761ec23658c,90bcecdd-64a0-55bf-a7a4-a04ea6e812c6,wave,bill,672,invoice_number=9020622999
3195de64-1165-5009-a6eb-5711a12b6962,82665ab7-acfa-51c9-bb7e-83734a7ac78a,gfs,invoice,9022611886,
4bef3b97-5466-53db-a6aa-784dfacbf762,82665ab7-acfa-51c9-bb7e-83734a7ac78a,wave,bill,701,invoice_number=9022611886
d71a41c7-d0c2-51db-9374-b096b4154bf6,76854cf3-58d0-5d23-9707-ea52243762f2,gfs,invoice,9003327039,
43589faf-2de5-5b4e-ac08-f3a5c71928fa,76854cf3-58d0-5d23-9707-ea52243762f2,wave,bill,43,invoice_number=9003327039
cdfdbf35-a705-536d-aec1-6d6890e69a1a,133ae316-472a-51e1-82f2-09be0af2dd6d,gfs,invoice,9003386079,
5560c016-c848-5b2e-9e33-9437728d19f5,133ae316-472a-51e1-82f2-09be0af2dd6d,wave,bill,48,invoice_number=9003386079
68036afc-e772-5087-9f37-09d7fe395d37,f9d1a070-adbe-5cb7-942a-600098a287ec,gfs,invoice,9003462485,
bf804b8b-63a1-5b9e-9fad-1ff8678f1b98,f9d1a070-adbe-5cb7-942a-600098a287ec,wave,bill,55,invoice_number=9003462485
