id,import_batch_id,report_start,report_end,report_name,raw_json,created_at,updated_at
c80f058d-157d-5623-8fa7-480094b82621,1f65629b-f241-5c9e-8096-ba13cbba5bf6,2023-06-01,2023-09-30,Net payments by gateway - 2023-06-01 - 2023-09-30.csv,"{""file"": ""/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/shopifyexports/Net payments by gateway - 2023-06-01 - 2023-09-30.csv"", ""header"": [""Payment gateway"", ""Digital wallet"", ""Credit card type"", ""Credit card tier"", ""Billing country"", ""Order sales channel"", ""Transactions"", ""Gross payments"", ""Refunded payments"", ""Net payments""]}",2026-01-15T17:12:44+00:00,2026-01-15T17:13:39+00:00
9dbbed3a-790c-55ee-8519-8bfaab29fa87,5526eb81-63a5-5a1d-ab27-dbe1edf88c7c,2023-06-01,2024-06-01,Net payments by gateway - 2023-06-01 - 2024-06-01.csv,"{""file"": ""/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/shopifyexports/Net payments by gateway - 2023-06-01 - 2024-06-01.csv"", ""header"": [""Payment gateway"", ""Digital wallet"", ""Credit card type"", ""Credit card tier"", ""Billing country"", ""Order sales channel"", ""Transactions"", ""Gross payments"", ""Refunded payments"", ""Net payments""]}",2026-01-15T17:12:44+00:00,2026-01-15T17:13:39+00:00
99b72bbc-dd9e-588b-94ec-c425acbf4357,d9de2400-b7f8-54ad-b845-645274c2f50d,2023-10-01,2023-12-31,Net payments by gateway - 2023-10-01 - 2023-12-31.csv,"{""file"": ""/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/shopifyexports/Net payments by gateway - 2023-10-01 - 2023-12-31.csv"", ""header"": [""Payment gateway"", ""Digital wallet"", ""Credit card type"", ""Credit card tier"", ""Billing country"", ""Order sales channel"", ""Transactions"", ""Gross payments"", ""Refunded payments"", ""Net payments""]}",2026-01-15T17:12:44+00:00,2026-01-15T17:13:39+00:00
aeb3f11d-6219-585e-985c-0c6627df4389,b7629a5e-10a8-5a7e-851a-63c0b7898848,2024-01-01,2024-03-31,Net payments by gateway - 2024-01-01 - 2024-03-31.csv,"{""file"": ""/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/shopifyexports/Net payments by gateway - 2024-01-01 - 2024-03-31.csv"", ""header"": [""Payment gateway"", ""Digital wallet"", ""Credit card type"", ""Credit card tier"", ""Billing country"", ""Order sales channel"", ""Transactions"", ""Gross payments"", ""Refunded payments"", ""Net payments""]}",2026-01-15T17:12:44+00:00,2026-01-15T17:13:39+00:00
0db82d83-f2a5-574f-83fd-494cf0770551,d3d4ebb8-f6ae-5c35-a967-7476f2755e7c,2024-04-01,2024-05-31,Net payments by gateway - 2024-04-01 - 2024-05-31.csv,"{""file"": ""/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/shopifyexports/Net payments by gateway - 2024-04-01 - 2024-05-31.csv"", ""header"": [""Payment gateway"", ""Digital wallet"", ""Credit card type"", ""Credit card tier"", ""Billing country"", ""Order sales channel"", ""Transactions"", ""Gross payments"", ""Refunded payments"", ""Net payments""]}",2026-01-15T17:12:44+00:00,2026-01-15T17:13:39+00:00
ccdbb320-45e1-567f-ba18-1cf546a08797,9ce85872-0984-5de3-9b95-fbb815195f14,2024-06-01,2024-09-30,Net payments by gateway - 2024-06-01 - 2024-09-30.csv,"{""file"": ""/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/shopifyexports/Net payments by gateway - 2024-06-01 - 2024-09-30.csv"", ""header"": [""Payment gateway"", ""Digital wallet"", ""Credit card type"", ""Credit card tier"", ""Billing country"", ""Order sales channel"", ""Transactions"", ""Gross payments"", ""Refunded payments"", ""Net payments""]}",2026-01-15T17:12:44+00:00,2026-01-15T17:13:39+00:00
5b7c1459-0a78-505a-8569-ac4c55bb1049,ea268004-4a09-5140-ab5a-30122d237604,2024-06-01,2025-06-01,Net payments by gateway - 2024-06-01 - 2025-06-01.csv,"{""file"": ""/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/shopifyexports/Net payments by gateway - 2024-06-01 - 2025-06-01.csv"", ""header"": [""Payment gateway"", ""Digital wallet"", ""Credit card type"", ""Credit card tier"", ""Billing country"", ""Order sales channel"", ""Transactions"", ""Gross payments"", ""Refunded payments"", ""Net payments""]}",2026-01-15T17:12:44+00:00,2026-01-15T17:13:39+00:00
1696c004-548e-5212-99e1-6580d46ab08a,37e0518a-8034-5300-b301-1ef7b520a5b4,2024-10-01,2024-12-31,Net payments by gateway - 2024-10-01 - 2024-12-31.csv,"{""file"": ""/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/shopifyexports/Net payments by gateway - 2024-10-01 - 2024-12-31.csv"", ""header"": [""Payment gateway"", ""Digital wallet"", ""Credit card type"", ""Credit card tier"", ""Billing country"", ""Order sales channel"", ""Transactions"", ""Gross payments"", ""Refunded payments"", ""Net payments""]}",2026-01-15T17:12:44+00:00,2026-01-15T17:13:39+00:00
e20bf05b-360a-5d05-a89b-d8492387d059,1b20967c-d70d-5b80-92d8-8bd07f4abc50,2025-01-01,2025-03-31,Net payments by gateway - 2025-01-01 - 2025-03-31.csv,"{""file"": ""/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/shopifyexports/Net payments by gateway - 2025-01-01 - 2025-03-31.csv"", ""header"": [""Payment gateway"", ""Digital wallet"", ""Credit card type"", ""Credit card tier"", ""Billing country"", ""Order sales channel"", ""Transactions"", ""Gross payments"", ""Refunded payments"", ""Net payments""]}",2026-01-15T17:12:44+00:00,2026-01-15T17:13:39+00:00
1190187d-dbaa-5783-b4e3-76b45a7b3ff2,d4ac2012-db76-5e16-96be-df172cec9547,2025-04-01,2025-05-31,Net payments by gateway - 2025-04-01 - 2025-05-31.csv,"{""file"": ""/home/clarencehub/curlys-books/t2-filing-fy2024-fy2025/data/shopifyexports/Net payments by gateway - 2025-04-01 - 2025-05-31.csv"", ""header"": [""Payment gateway"", ""Digital wallet"", ""Credit card type"", ""Credit card tier"", ""Billing country"", ""Order sales channel"", ""Transactions"", ""Gross payments"", ""Refunded payments"", ""Net payments""]}",2026-01-15T17:12:44+00:00,2026-01-15T17:13:39+00:00
