fy,as_of,metric,value,display
FY2024,2024-05-31,trial_balance_3400_net_cents,0,$0.00
FY2024,2024-05-31,rounded_to_dollars,0,0
FY2024,2024-05-31,retained_earnings_3700_dollars,0,0
