window_days,bank_txn_id,bank_date,bank_amount,bank_card_last4,classification,candidate_count,wave_bill_ids
30,1466,2023-12-04,31.31,154,purchase_no_wave,1,
30,1592,2023-10-23,29.95,318,no_purchase,0,
30,1594,2023-10-23,29.95,318,no_purchase,0,
30,1422,2023-12-28,28.68,318,purchase_no_wave,1,
30,1421,2023-12-28,26.36,318,purchase_no_wave,1,
30,470,2025-03-17,21.81,318,purchase_no_wave,1,
30,1403,2024-01-08,20.1,154,purchase_no_wave,1,
30,1591,2023-10-23,19.54,154,no_purchase,0,
30,1593,2023-10-23,19.54,318,strict_wave,1,76
30,1473,2023-12-01,11.61,318,purchase_no_wave,1,
30,1535,2023-11-02,7.15,318,purchase_no_wave,1,
60,1068,2024-08-19,1080.39,154,no_purchase,0,
60,1581,2023-10-23,643.63,318,no_purchase,0,
60,1551,2023-10-30,586.57,154,purchase_no_wave,1,
60,1337,2024-02-01,434.74,318,purchase_no_wave,1,
60,350,2025-05-13,408.58,318,ambiguous,1,674;691;695
60,654,2025-01-16,340.67,318,no_purchase,0,
60,1474,2023-12-01,281.63,318,purchase_no_wave,1,
60,1426,2023-12-28,265.37,318,purchase_no_wave,1,
60,918,2024-10-22,236.91,154,no_purchase,0,
60,1455,2023-12-08,192.37,318,no_purchase,0,
60,1388,2024-01-10,192.37,318,purchase_no_wave,1,
60,1534,2023-11-02,184.42,318,purchase_no_wave,1,
60,1144,2024-04-16,136.11,318,no_purchase,0,
60,393,2025-04-11,132.68,318,ambiguous,2,
60,394,2025-04-11,132.68,318,ambiguous,2,
60,396,2025-04-11,132.68,318,ambiguous,2,
60,397,2025-04-11,132.68,318,ambiguous,2,
60,1053,2024-09-03,130.54,154,no_purchase,0,
60,1412,2024-01-04,102.54,318,purchase_no_wave,1,
60,1547,2023-10-30,91.59,318,purchase_no_wave,1,
60,1102,2024-05-21,87.27,318,no_purchase,0,
60,1472,2023-12-01,82.12,318,no_purchase,0,
60,1563,2023-10-24,78.83,154,purchase_no_wave,1,
60,681,2025-01-08,76.22,154,no_purchase,0,
60,1533,2023-11-02,68.32,318,purchase_no_wave,1,
60,1475,2023-12-01,67.82,318,purchase_no_wave,1,
60,1476,2023-12-01,66.95,154,purchase_no_wave,1,
60,1103,2024-05-21,65.14,318,no_purchase,0,
60,1548,2023-10-30,64.04,154,purchase_no_wave,1,
60,1506,2023-11-15,63.56,154,purchase_no_wave,1,
60,1595,2023-10-23,59.13,154,no_purchase,0,
60,357,2025-05-05,51.07,318,no_purchase,0,
60,354,2025-05-05,49.03,318,purchase_no_wave,1,
60,1415,2024-01-04,48.87,318,purchase_no_wave,1,
60,1471,2023-12-01,46.58,154,purchase_no_wave,1,
60,1549,2023-10-30,45.99,318,purchase_no_wave,1,
60,372,2025-04-24,45.99,318,no_purchase,0,
60,1414,2024-01-04,43.42,318,purchase_no_wave,1,
60,1424,2023-12-28,41.81,318,purchase_no_wave,1,
60,1550,2023-10-30,40.82,318,purchase_no_wave,1,
60,1554,2023-10-27,40.22,318,purchase_no_wave,1,
60,1393,2024-01-09,39.87,318,purchase_no_wave,1,
60,754,2024-12-09,37.77,154,purchase_no_wave,1,
60,1458,2023-12-06,35.62,154,no_purchase,0,
60,1413,2024-01-04,35.6,154,purchase_no_wave,1,
60,1466,2023-12-04,31.31,154,purchase_no_wave,1,
60,1592,2023-10-23,29.95,318,ambiguous,2,37;38
60,1594,2023-10-23,29.95,318,ambiguous,2,37;38
60,1422,2023-12-28,28.68,318,purchase_no_wave,1,
60,1421,2023-12-28,26.36,318,purchase_no_wave,1,
60,470,2025-03-17,21.81,318,purchase_no_wave,1,
60,1403,2024-01-08,20.1,154,purchase_no_wave,1,
60,1591,2023-10-23,19.54,154,no_purchase,0,
60,1593,2023-10-23,19.54,318,ambiguous,2,30;76
60,1473,2023-12-01,11.61,318,purchase_no_wave,1,
60,1535,2023-11-02,7.15,318,purchase_no_wave,1,
90,1068,2024-08-19,1080.39,154,no_purchase,0,
90,1581,2023-10-23,643.63,318,no_purchase,0,
90,1551,2023-10-30,586.57,154,purchase_no_wave,1,
90,1337,2024-02-01,434.74,318,purchase_no_wave,1,
90,350,2025-05-13,408.58,318,ambiguous,1,674;691;695
90,654,2025-01-16,340.67,318,no_purchase,0,
90,1474,2023-12-01,281.63,318,purchase_no_wave,1,
90,1426,2023-12-28,265.37,318,purchase_no_wave,1,
90,918,2024-10-22,236.91,154,no_purchase,0,
90,1455,2023-12-08,192.37,318,no_purchase,0,
90,1388,2024-01-10,192.37,318,purchase_no_wave,1,
90,1534,2023-11-02,184.42,318,purchase_no_wave,1,
90,1144,2024-04-16,136.11,318,no_purchase,0,
90,393,2025-04-11,132.68,318,ambiguous,3,
90,394,2025-04-11,132.68,318,ambiguous,3,
90,396,2025-04-11,132.68,318,ambiguous,3,
90,397,2025-04-11,132.68,318,ambiguous,3,
90,1053,2024-09-03,130.54,154,no_purchase,0,
90,1412,2024-01-04,102.54,318,purchase_no_wave,1,
90,1547,2023-10-30,91.59,318,purchase_no_wave,1,
90,1102,2024-05-21,87.27,318,purchase_no_wave,1,
90,1472,2023-12-01,82.12,318,no_purchase,0,
90,1563,2023-10-24,78.83,154,purchase_no_wave,1,
90,681,2025-01-08,76.22,154,no_purchase,0,
90,1533,2023-11-02,68.32,318,purchase_no_wave,1,
90,1475,2023-12-01,67.82,318,purchase_no_wave,1,
90,1476,2023-12-01,66.95,154,purchase_no_wave,1,
90,1103,2024-05-21,65.14,318,no_purchase,0,
90,1548,2023-10-30,64.04,154,purchase_no_wave,1,
90,1506,2023-11-15,63.56,154,purchase_no_wave,1,
90,1595,2023-10-23,59.13,154,no_purchase,0,
90,357,2025-05-05,51.07,318,no_purchase,0,
90,354,2025-05-05,49.03,318,purchase_no_wave,1,
90,1415,2024-01-04,48.87,318,purchase_no_wave,1,
90,1471,2023-12-01,46.58,154,purchase_no_wave,1,
90,1549,2023-10-30,45.99,318,purchase_no_wave,1,
90,372,2025-04-24,45.99,318,no_purchase,0,
90,1414,2024-01-04,43.42,318,purchase_no_wave,1,
90,1424,2023-12-28,41.81,318,purchase_no_wave,1,
90,1550,2023-10-30,40.82,318,purchase_no_wave,1,
90,1554,2023-10-27,40.22,318,purchase_no_wave,1,
90,1393,2024-01-09,39.87,318,purchase_no_wave,1,
90,754,2024-12-09,37.77,154,purchase_no_wave,1,
90,1458,2023-12-06,35.62,154,no_purchase,0,
90,1413,2024-01-04,35.6,154,purchase_no_wave,1,
90,1466,2023-12-04,31.31,154,purchase_no_wave,1,
90,1592,2023-10-23,29.95,318,ambiguous,2,37;38
90,1594,2023-10-23,29.95,318,ambiguous,2,37;38
90,1422,2023-12-28,28.68,318,purchase_no_wave,1,
90,1421,2023-12-28,26.36,318,purchase_no_wave,1,
90,470,2025-03-17,21.81,318,purchase_no_wave,1,
90,1403,2024-01-08,20.1,154,purchase_no_wave,1,
90,1591,2023-10-23,19.54,154,no_purchase,0,
90,1593,2023-10-23,19.54,318,ambiguous,2,30;76
90,1473,2023-12-01,11.61,318,purchase_no_wave,1,
90,1535,2023-11-02,7.15,318,purchase_no_wave,1,
