bank_txn_id,bank_date,bank_debit_cents,bank_debit,evidence_category,category,allocation_scaled,raw_allocated_to_bills_cents,raw_allocated_to_bills,shareholder_account,matched_wave_bill_ids,match_methods,allocated_to_bills_cents,allocated_to_bills,remainder_cents,remainder,remainder_account,journal_entry_id
1229,2024-03-11,4812,48.12,REIMBURSEMENT,REIMBURSEMENT,0,5116,51.16,2400,230,WAVE_MATCHES,5116,51.16,-304,-3.04,,WAVE_BILL_REIMBURSE_1229
1230,2024-03-11,3169,31.69,REIMBURSEMENT,REIMBURSEMENT,0,3169,31.69,2400,153,WAVE_MATCHES,3169,31.69,0,0.00,,WAVE_BILL_REIMBURSE_1230
1231,2024-03-11,820,8.20,REIMBURSEMENT,REIMBURSEMENT,0,820,8.20,2400,156,WAVE_MATCHES,820,8.20,0,0.00,,WAVE_BILL_REIMBURSE_1231
1232,2024-03-11,2005,20.05,REIMBURSEMENT,REIMBURSEMENT,0,2005,20.05,2400,155,WAVE_MATCHES,2005,20.05,0,0.00,,WAVE_BILL_REIMBURSE_1232
1233,2024-03-11,927,9.27,REIMBURSEMENT,REIMBURSEMENT,0,1017,10.17,2400,154,WAVE_MATCHES,1017,10.17,-90,-0.90,,WAVE_BILL_REIMBURSE_1233
1234,2024-03-11,5573,55.73,REIMBURSEMENT,REIMBURSEMENT,0,5573,55.73,2400,247,WAVE_MATCHES,5573,55.73,0,0.00,,WAVE_BILL_REIMBURSE_1234
1243,2024-03-08,36432,364.32,REIMBURSEMENT,REIMBURSEMENT,0,36432,364.32,2410,250,WAVE_MATCHES,36432,364.32,0,0.00,,WAVE_BILL_REIMBURSE_1243
1247,2024-03-06,80499,804.99,REIMBURSEMENT,REIMBURSEMENT,0,80499,804.99,2400,237,WAVE_MATCHES,80499,804.99,0,0.00,,WAVE_BILL_REIMBURSE_1247
1248,2024-03-06,15072,150.72,REIMBURSEMENT,REIMBURSEMENT,0,15072,150.72,2400,712,WAVE_MATCHES,15072,150.72,0,0.00,,WAVE_BILL_REIMBURSE_1248
1251,2024-03-06,8954,89.54,REIMBURSEMENT,REIMBURSEMENT,0,8954,89.54,2400,241,WAVE_MATCHES,8954,89.54,0,0.00,,WAVE_BILL_REIMBURSE_1251
1253,2024-03-06,29892,298.92,REIMBURSEMENT,REIMBURSEMENT,0,29889,298.89,2400,240,WAVE_MATCHES,29889,298.89,3,0.03,9100,WAVE_BILL_REIMBURSE_1253
1273,2024-02-26,13576,135.76,REIMBURSEMENT,REIMBURSEMENT,0,13576,135.76,2400,225,WAVE_MATCHES,13576,135.76,0,0.00,,WAVE_BILL_REIMBURSE_1273
1284,2024-02-22,22942,229.42,REIMBURSEMENT,REIMBURSEMENT,0,22942,229.42,2410,223,WAVE_MATCHES,22942,229.42,0,0.00,,WAVE_BILL_REIMBURSE_1284
1285,2024-02-22,2069,20.69,REIMBURSEMENT,REIMBURSEMENT,0,2069,20.69,2410,754,WAVE_BILL_FUNDING,2069,20.69,0,0.00,,WAVE_BILL_REIMBURSE_1285
1286,2024-02-22,2000,20.00,REIMBURSEMENT,REIMBURSEMENT,0,2000,20.00,2400,207,WAVE_MATCHES,2000,20.00,0,0.00,,WAVE_BILL_REIMBURSE_1286
1287,2024-02-22,110000,1100.00,REIMBURSEMENT,REIMBURSEMENT,0,110000,1100.00,2410,221,WAVE_MATCHES,110000,1100.00,0,0.00,,WAVE_BILL_REIMBURSE_1287
1290,2024-02-22,13336,133.36,REIMBURSEMENT,REIMBURSEMENT,0,13335,133.35,2400,205,WAVE_MATCHES,13335,133.35,1,0.01,9100,WAVE_BILL_REIMBURSE_1290
