fy,fy_end,ledger_gifi_2680_balance,ledger_gifi_2680_amount,ledger_net_hst_payable,tb_2200_balance,tb_2200_amount,tb_2210_balance,tb_2210_amount,shopify_tax_journal_total,shopify_tax_effective_start,itc_pre_start_reclass_total,cra_payable_estimate,ledger_minus_cra
FY2024,2024-05-31,CR,6766.89,6766.89,CR,9060.18,DR,2293.29,9060.18,2024-02-26,7413.25,6214.37,552.52
FY2025,2025-05-31,CR,2663.01,2663.01,CR,13913.82,DR,11250.81,24023.44,2024-06-01,,3346.30,-683.29
