Date,Account,Debit,Credit,Description,Reference
2024-05-31,7110,465.00,,Meals & entertainment estimate (Moncton trips) FY2024,MEALS-MONCTON-EST-FY2024
2024-05-31,2400,,345.00,Due to shareholder - Thomas (meals estimate) FY2024,MEALS-MONCTON-EST-FY2024
2024-05-31,2410,,120.00,Due to shareholder - Dwayne (meals estimate) FY2024,MEALS-MONCTON-EST-FY2024
