id,bank_txn_id,target_type,target_id,amount_cents,notes,created_at
30,1398,WAVE_BILL,162,3842,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1353 cc_purchase_txn_id=1358,2026-01-21 17:59:31
31,1387,WAVE_BILL,51,5876,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1348 cc_purchase_txn_id=1631,2026-01-21 17:59:31
32,1391,WAVE_BILL,160,28865,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1350 cc_purchase_txn_id=1362,2026-01-21 17:59:31
33,1372,WAVE_BILL,174,738,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1330 cc_purchase_txn_id=1336,2026-01-21 17:59:31
34,1371,WAVE_BILL,173,5449,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1332 cc_purchase_txn_id=1337,2026-01-21 17:59:31
35,1368,WAVE_BILL,163,6375,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1333 cc_purchase_txn_id=1356,2026-01-21 17:59:31
36,1369,WAVE_BILL,175,2892,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1334 cc_purchase_txn_id=1344,2026-01-21 17:59:31
37,1348,WAVE_BILL,181,2588,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1302 cc_purchase_txn_id=1317,2026-01-21 17:59:31
38,1346,WAVE_BILL,184,3013,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1303 cc_purchase_txn_id=1310,2026-01-21 17:59:31
39,1349,WAVE_BILL,170,4823,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1304 cc_purchase_txn_id=1340,2026-01-21 17:59:31
40,1343,WAVE_BILL,186,5352,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1305 cc_purchase_txn_id=1312,2026-01-21 17:59:31
41,1345,WAVE_BILL,180,1107,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1306 cc_purchase_txn_id=1316,2026-01-21 17:59:31
42,1344,WAVE_BILL,177,1179,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1307 cc_purchase_txn_id=1322,2026-01-21 17:59:31
43,1333,WAVE_BILL,183,6780,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1296 cc_purchase_txn_id=1311,2026-01-21 17:59:31
44,1336,WAVE_BILL,178,14038,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1299 cc_purchase_txn_id=1325,2026-01-21 17:59:31
45,1335,WAVE_BILL,189,187393,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=3870 cc_purchase_txn_id=3874,2026-01-21 17:59:31
46,1325,WAVE_BILL,192,8203,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1290 cc_purchase_txn_id=1295,2026-01-21 17:59:31
47,1326,WAVE_BILL,194,20593,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1291 cc_purchase_txn_id=1292,2026-01-21 17:59:31
48,1302,WAVE_BILL,206,96143,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1244 cc_purchase_txn_id=1267,2026-01-21 17:59:31
49,1289,WAVE_BILL,217,11982,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1245 cc_purchase_txn_id=1259,2026-01-21 17:59:31
50,1288,WAVE_BILL,219,5130,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1246 cc_purchase_txn_id=1256,2026-01-21 17:59:31
51,1293,WAVE_BILL,202,1300,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1247 cc_purchase_txn_id=1280,2026-01-21 17:59:31
52,1295,WAVE_BILL,208,10554,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1248 cc_purchase_txn_id=1268,2026-01-21 17:59:31
53,1299,WAVE_BILL,203,1147,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1249 cc_purchase_txn_id=1274,2026-01-21 17:59:31
54,1298,WAVE_BILL,211,5996,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1250 cc_purchase_txn_id=1264,2026-01-21 17:59:31
55,1300,WAVE_BILL,200,3619,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1251 cc_purchase_txn_id=1283,2026-01-21 17:59:31
56,1275,WAVE_BILL,218,38101,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1229 cc_purchase_txn_id=1258,2026-01-21 17:59:31
57,1274,WAVE_BILL,227,4796,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1230 cc_purchase_txn_id=1239,2026-01-21 17:59:31
58,1271,WAVE_BILL,228,2995,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1231 cc_purchase_txn_id=1240,2026-01-21 17:59:31
59,1270,WAVE_BILL,229,5988,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1232 cc_purchase_txn_id=1235,2026-01-21 17:59:31
60,1268,WAVE_BILL,231,166598,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=3833 cc_purchase_txn_id=3829,2026-01-21 17:59:31
61,1252,WAVE_BILL,238,2130,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1209 cc_purchase_txn_id=1214,2026-01-21 17:59:31
62,1249,WAVE_BILL,236,1207,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1210 cc_purchase_txn_id=1218,2026-01-21 17:59:31
63,1250,WAVE_BILL,234,4352,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1211 cc_purchase_txn_id=1219,2026-01-21 17:59:31
64,1235,WAVE_BILL,248,2194,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1203 cc_purchase_txn_id=1205,2026-01-21 17:59:31
65,1208,WAVE_BILL,261,13328,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1180 cc_purchase_txn_id=1190,2026-01-21 17:59:31
66,1207,WAVE_BILL,262,18239,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1181 cc_purchase_txn_id=1189,2026-01-21 17:59:31
67,1205,WAVE_BILL,264,4383,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1182 cc_purchase_txn_id=1188,2026-01-21 17:59:31
68,1206,WAVE_BILL,265,22743,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=1183 cc_purchase_txn_id=1187,2026-01-21 17:59:31
